"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000256034.1",6.46631713706305,0.161052794043467,0.814277837895362,0.197786046172809,0.843212464047551,0.943681548790148,"Stable","Stable",0.943681548790148,NA,"ENSG00000256034.1"
"ENSG00000106399.11",363.241384864513,-0.0228686670439295,0.11563869218138,-0.19775964785264,0.843233118935087,0.943681548790148,"Stable","Stable",0.943681548790148,"RPA3","RPA3"
"ENSG00000197223.12",267.761711269438,-0.031039696785017,0.156764900339617,-0.198001572531684,0.843043833387033,0.943681548790148,"Stable","Stable",0.943681548790148,"C1D","C1D"
"ENSG00000139826.6",296.012962829619,-0.0363090023304638,0.183544725404233,-0.197821006572093,0.843185110082257,0.943681548790148,"Stable","Stable",0.943681548790148,"ABHD13","ABHD13"
"ENSG00000215014.5",29.2691741613492,-0.0727730512353753,0.367971900639344,-0.197767957577558,0.843226617129686,0.943681548790148,"Stable","Stable",0.943681548790148,"SSU72-AS1","SSU72-AS1"
"ENSG00000230337.3",5.17045686809708,0.238799802243781,1.20893688068536,0.197528759407524,0.84341377801195,0.94381036770747,"Stable","Stable",0.94381036770747,NA,"ENSG00000230337.3"
"ENSG00000233440.2",67.621051773967,0.0394165414274117,0.199562182732907,0.197515084710046,0.843424478061993,0.94381036770747,"Stable","Stable",0.94381036770747,NA,"ENSG00000233440.2"
"ENSG00000047644.20",1571.6312402066,0.0145575963443272,0.0737849364889838,0.197297673983913,0.843594599465061,0.943849216217594,"Stable","Stable",0.943849216217594,"WWC3","WWC3"
"ENSG00000254712.1",28.8056667945342,-0.0632449350061283,0.320385888159453,-0.197402374272652,0.843512671776896,0.943849216217594,"Stable","Stable",0.943849216217594,NA,"ENSG00000254712.1"
"ENSG00000232385.2",20.0688440172945,-0.0784650880271997,0.3976022931137,-0.197345662704117,0.843557048213265,0.943849216217594,"Stable","Stable",0.943849216217594,"RPS3AP25","RPS3AP25"
"ENSG00000273733.1",7.34580041432753,-0.206362973240397,1.04606321992597,-0.19727581403254,0.843611705030518,0.943849216217594,"Stable","Stable",0.943849216217594,NA,"ENSG00000273733.1"
"ENSG00000163114.6",35.9324385618754,-0.0506540148320649,0.256842001862339,-0.197218579768017,0.843656491593816,0.94385666603719,"Stable","Stable",0.94385666603719,"PDHA2","PDHA2"
"ENSG00000124380.11",936.70743732474,0.0277624624989477,0.140878809059917,0.197066277633992,0.843775672475071,0.94386203217896,"Stable","Stable",0.94386203217896,"SNRNP27","SNRNP27"
"ENSG00000143384.14",11524.5107011448,0.0045607954481237,0.0231405674246575,0.197090908119389,0.843756398156209,0.94386203217896,"Stable","Stable",0.94386203217896,"MCL1","MCL1"
"ENSG00000247970.3",7.52695855615965,-0.147691348300924,0.749223079921675,-0.197125999263615,0.843728938123996,0.94386203217896,"Stable","Stable",0.94386203217896,NA,"ENSG00000247970.3"
"ENSG00000226200.7",13.27735003824,0.137638680824069,0.698988021547835,0.196911358393929,0.843896904988281,0.94395498996814,"Stable","Stable",0.94395498996814,NA,"ENSG00000226200.7"
"ENSG00000188996.5",3.12883943359519,0.258217340299963,1.31414857558569,0.196490218151232,0.84422648822473,0.944100419449647,"Stable","Stable",0.944100419449647,"HUS1B","HUS1B"
"ENSG00000152242.11",1159.24499906527,-0.0195294780377576,0.099384650699292,-0.196503966159201,0.844215728639223,0.944100419449647,"Stable","Stable",0.944100419449647,"ARK2N","ARK2N"
"ENSG00000057935.14",884.74685401346,-0.0209460398530058,0.106615788869406,-0.196462832335861,0.844247921236232,0.944100419449647,"Stable","Stable",0.944100419449647,"MTA3","MTA3"
"ENSG00000248905.10",33.9529406842989,-0.0942591666901266,0.479914582054652,-0.19640821557573,0.844290666396867,0.944100419449647,"Stable","Stable",0.944100419449647,"FMN1","FMN1"
"ENSG00000186704.9",5.50773672923166,-0.11433577626845,0.58161267932417,-0.196584050405001,0.844153052988494,0.944100419449647,"Stable","Stable",0.944100419449647,NA,"ENSG00000186704.9"
"ENSG00000267127.7",12.359683829861,-0.144860750139542,0.737564778093969,-0.196404105025045,0.844293883489246,0.944100419449647,"Stable","Stable",0.944100419449647,NA,"ENSG00000267127.7"
"ENSG00000233871.2",3.32292632216199,-0.197436221013407,1.00388879276052,-0.196671406670944,0.844084687223811,0.944100419449647,"Stable","Stable",0.944100419449647,NA,"ENSG00000233871.2"
"ENSG00000132612.16",1541.91457633153,-0.0213474157793999,0.108726264233109,-0.196340929489042,0.844343327686333,0.944113061876108,"Stable","Stable",0.944113061876108,"VPS4A","VPS4A"
"ENSG00000135953.11",415.862353894934,0.020490801192298,0.104470182232076,0.196140188085234,0.844500441583,0.94424608994522,"Stable","Stable",0.94424608994522,"SLC67A2","SLC67A2"
"ENSG00000141543.12",1183.3435532678,0.0122352335955899,0.0625263540372638,0.195681225684422,0.844859680052224,0.944605093703663,"Stable","Stable",0.944605093703663,"EIF4A3","EIF4A3"
"ENSG00000249347.1",12.0308004979404,0.0811579215301252,0.415385407572738,0.195379808848758,0.845095622213338,0.94482621840354,"Stable","Stable",0.94482621840354,NA,"ENSG00000249347.1"
"ENSG00000267264.1",3.75829270642121,0.200203964781489,1.02607948699905,0.195115453839761,0.845302564667756,0.944887340924009,"Stable","Stable",0.944887340924009,NA,"ENSG00000267264.1"
"ENSG00000258397.1",13.5021321911138,0.0874529370848389,0.448324452912223,0.195066176999186,0.845341140757181,0.944887340924009,"Stable","Stable",0.944887340924009,"BCAR1P1","BCAR1P1"
"ENSG00000186940.6",1301.50842286143,0.0359558882030954,0.184249201717341,0.195148135611767,0.845276980136267,0.944887340924009,"Stable","Stable",0.944887340924009,NA,"ENSG00000186940.6"
"ENSG00000115392.13",633.857971342691,-0.0163309989230261,0.0836995595715946,-0.195114514420557,0.845303300083175,0.944887340924009,"Stable","Stable",0.944887340924009,"FANCL","FANCL"
"ENSG00000283371.1",6.78164784275267,-0.122226043470215,0.625995096510669,-0.195250800128482,0.845196611517689,0.944887340924009,"Stable","Stable",0.944887340924009,NA,"ENSG00000283371.1"
"ENSG00000273091.1",3.1250851469245,0.255766396772744,1.31243929857705,0.194878648521152,0.845487949730697,0.94491730874344,"Stable","Stable",0.94491730874344,NA,"ENSG00000273091.1"
"ENSG00000241030.1",8.65924929980245,0.120650145597295,0.619222418471498,0.194841372014777,0.845517132741199,0.94491730874344,"Stable","Stable",0.94491730874344,NA,"ENSG00000241030.1"
"ENSG00000254479.1",280.541229754627,0.0308073407375694,0.158071672117829,0.194894760869013,0.845475335770415,0.94491730874344,"Stable","Stable",0.94491730874344,NA,"ENSG00000254479.1"
"ENSG00000279685.2",9.69721887844512,-0.11161639656093,0.572870934810835,-0.194836899166104,0.845520634456714,0.94491730874344,"Stable","Stable",0.94491730874344,"MAPT-IT1","MAPT-IT1"
"ENSG00000264538.8",29.4794563519686,0.0586268486695748,0.301240544416966,0.19461805442904,0.845691967925185,0.944992334395772,"Stable","Stable",0.944992334395772,NA,"ENSG00000264538.8"
"ENSG00000198039.12",192.497456964816,0.0522430756684759,0.268424786233866,0.194628359032981,0.845683900290569,0.944992334395772,"Stable","Stable",0.944992334395772,"ZNF273","ZNF273"
"ENSG00000143321.19",12253.310901413,0.0164222995494594,0.0843879162312038,0.194604870968327,0.845702289485112,0.944992334395772,"Stable","Stable",0.944992334395772,"HDGF","HDGF"
"ENSG00000289433.1",8.5776810145402,0.240442304106622,1.23671480548805,0.194420171117572,0.84584689698354,0.945111258624578,"Stable","Stable",0.945111258624578,NA,"ENSG00000289433.1"
"ENSG00000154839.10",137.230217038869,-0.0333131610990708,0.171404182496254,-0.194354423643068,0.845898374065401,0.945126117078399,"Stable","Stable",0.945126117078399,"SKA1","SKA1"
"ENSG00000227854.1",8.06085955093707,0.102064530171594,0.525382356804373,0.194267144394417,0.845966710497666,0.945159810370074,"Stable","Stable",0.945159810370074,NA,"ENSG00000227854.1"
"ENSG00000087085.16",876.32529920441,-0.0204937080883837,0.105558677988118,-0.19414517573525,0.846062209399673,0.94522384663277,"Stable","Stable",0.94522384663277,"ACHE","ACHE"
"ENSG00000119723.17",289.017172504607,0.0175387033640043,0.0903713009483157,0.194073817461529,0.846118082479994,0.945243608998251,"Stable","Stable",0.945243608998251,"COQ6","COQ6"
"ENSG00000117151.13",234.078667149227,-0.0394436915776366,0.203404208617485,-0.193917775083077,0.846240265378355,0.945337444469367,"Stable","Stable",0.945337444469367,"CTBS","CTBS"
"ENSG00000139219.19",14.2354189678135,-0.114399234693154,0.590700715320587,-0.193666998745831,0.846436633752548,0.945514140541688,"Stable","Stable",0.945514140541688,"COL2A1","COL2A1"
"ENSG00000182108.11",671.16842438453,0.0128568557082791,0.0664571488096406,0.19346083812753,0.846598073293939,0.9455664728565,"Stable","Stable",0.9455664728565,"DEXI","DEXI"
"ENSG00000196951.13",16.5452141928183,-0.135611586884811,0.700920902815776,-0.193476305728685,0.846585960755007,0.9455664728565,"Stable","Stable",0.9455664728565,"SCOC-AS1","SCOC-AS1"
"ENSG00000259498.1",1.99568292564517,-0.199464267776602,1.03069465292772,-0.19352411231592,0.846548524076968,0.9455664728565,"Stable","Stable",0.9455664728565,NA,"ENSG00000259498.1"
"ENSG00000241334.2",278.165295977901,0.0384703660431104,0.199060714680574,0.193259459079319,0.846755774716773,0.945614616462026,"Stable","Stable",0.945614616462026,NA,"ENSG00000241334.2"
"ENSG00000230146.1",443.881474642195,0.0248100330092138,0.128357324874245,0.193288797764528,0.846732798993183,0.945614616462026,"Stable","Stable",0.945614616462026,NA,"ENSG00000230146.1"
"ENSG00000213384.2",14.1215373872698,-0.110110413073785,0.569655845718113,-0.193292869548243,0.84672961030649,0.945614616462026,"Stable","Stable",0.945614616462026,"EIF4E2P1","EIF4E2P1"
"ENSG00000251440.2",82.1510716178132,-0.0575811611720616,0.298178677004057,-0.193109587012079,0.846873144625634,0.945703026669414,"Stable","Stable",0.945703026669414,NA,"ENSG00000251440.2"
"ENSG00000198832.11",36.0724526514049,0.0649718221598151,0.337065444215231,0.192757291721449,0.847149052412442,0.945712504733709,"Stable","Stable",0.945712504733709,"SELENOM","SELENOM"
"ENSG00000213082.3",60.5725181193494,0.0379710239210471,0.19698176652368,0.192764155744753,0.847143676522901,0.945712504733709,"Stable","Stable",0.945712504733709,NA,"ENSG00000213082.3"
