"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000131095.14",19499.6779095186,-7.79196655833578,0.236397700253313,-32.9612621018998,2.9177412830554e-238,7.76527665072364e-234,"Down","Sig",7.76527665072364e-234,"GFAP","GFAP"
"ENSG00000139352.4",2554.29747293648,-4.31744192253365,0.163394341964468,-26.4234481477487,7.36933883607597e-154,9.80637918916629e-150,"Down","Sig",9.80637918916629e-150,"ASCL1","ASCL1"
"ENSG00000136943.12",8824.07525711622,3.5776498678115,0.147111177327109,24.319361266863,1.22341729466352e-130,1.0853342626725e-126,"Up","Sig",1.0853342626725e-126,"CTSV","CTSV"
"ENSG00000100427.16",2023.00937379067,-4.72971898884886,0.197315068472655,-23.9703892128458,5.66430253932755e-127,3.76874369454159e-123,"Down","Sig",3.76874369454159e-123,"MLC1","MLC1"
"ENSG00000155849.16",791.004569026404,-5.50186663169175,0.230618467639685,-23.8570080184896,8.56502647203556e-126,4.55899229053509e-122,"Down","Sig",4.55899229053509e-122,"ELMO1","ELMO1"
"ENSG00000271605.6",1085.62560041935,4.52988841279148,0.1914805447744,23.6571732033065,9.95816618042979e-124,4.41711057876597e-120,"Up","Sig",4.41711057876597e-120,"MILR1","MILR1"
"ENSG00000135744.9",4431.31753889711,-4.85481310713011,0.206656424413257,-23.4921954200746,4.90127348965263e-122,1.86346418076593e-118,"Down","Sig",1.86346418076593e-118,"AGT","AGT"
"ENSG00000156675.16",1291.2349149748,3.89062191317116,0.167288155687356,23.2570076296514,1.20826559515708e-119,4.01959756868883e-116,"Up","Sig",4.01959756868883e-116,"RAB11FIP1","RAB11FIP1"
"ENSG00000129244.9",870.963803393613,-4.04316653064324,0.184550187343522,-21.9082223044146,2.1688379133799e-106,6.41349469185474e-103,"Down","Sig",6.41349469185474e-103,"ATP1B2","ATP1B2"
"ENSG00000249992.2",5160.02637999244,3.73050796464707,0.178021703936599,20.9553547806489,1.67674940262727e-97,4.46250086015222e-94,"Up","Sig",4.46250086015222e-94,"TMEM158","TMEM158"
"ENSG00000170345.10",3023.50332212244,-3.40182156229249,0.168655104212842,-20.1702852586033,1.78605588622273e-90,4.32128103235742e-87,"Down","Sig",4.32128103235742e-87,"FOS","FOS"
"ENSG00000115266.12",2053.79512385999,-3.36868806645504,0.170056154931628,-19.8092686960342,2.47654964483047e-87,5.49257435395985e-84,"Down","Sig",5.49257435395985e-84,"APC2","APC2"
"ENSG00000162512.16",3628.84932753356,-2.97920056541871,0.151241998813795,-19.6982358655986,2.23264876728244e-86,4.57074725326577e-83,"Down","Sig",4.57074725326577e-83,"SDC3","SDC3"
"ENSG00000117318.9",3280.58417886403,-5.21375039940428,0.264957066493772,-19.6777178597229,3.34739872315064e-86,6.36340497270936e-83,"Down","Sig",6.36340497270936e-83,"ID3","ID3"
"ENSG00000123485.12",4992.29134264983,2.90004765364549,0.150800808152772,19.2309821755566,2.03732978187579e-82,3.61476632098949e-79,"Up","Sig",3.61476632098949e-79,"HJURP","HJURP"
"ENSG00000125968.9",1830.54304393512,-5.27089074848903,0.275248300882613,-19.1495850531588,9.75610010927431e-82,1.62280530192642e-78,"Down","Sig",1.62280530192642e-78,"ID1","ID1"
"ENSG00000175592.9",1823.40381309027,3.8255258063694,0.20094501297433,19.0376747834896,8.3137464820333e-81,1.30154146395785e-77,"Up","Sig",1.30154146395785e-77,"FOSL1","FOSL1"
"ENSG00000183691.6",587.109477782779,7.80644176092834,0.413990430267985,18.8565753944483,2.59492764233497e-79,3.83674468183904e-76,"Up","Sig",3.83674468183904e-76,"NOG","NOG"
"ENSG00000127241.18",761.284486472173,-4.10186964483937,0.221723830080346,-18.4999043330299,2.06840785539679e-76,2.89729508755422e-73,"Down","Sig",2.89729508755422e-73,"MASP1","MASP1"
"ENSG00000007171.19",2488.45925166015,3.45492623575143,0.190148388463219,18.1696319578313,8.97986370051084e-74,1.19495046262698e-70,"Up","Sig",1.19495046262698e-70,"NOS2","NOS2"
"ENSG00000211445.13",1813.93997329306,-5.16887273284733,0.287908702667113,-17.9531660035428,4.5330964521437e-72,5.74494423701678e-69,"Down","Sig",5.74494423701678e-69,"GPX3","GPX3"
"ENSG00000100100.13",618.487451530948,-3.5063326578571,0.197887589969713,-17.7188102517886,3.00194316954346e-70,3.63153252337408e-67,"Down","Sig",3.63153252337408e-67,"PIK3IP1","PIK3IP1"
"ENSG00000175832.13",777.81310542152,4.14366206422911,0.234561554947273,17.6655635880337,7.72375324203005e-70,8.93738994710382e-67,"Up","Sig",8.93738994710382e-67,"ETV4","ETV4"
"ENSG00000106483.12",311.901956842647,-5.89346094550419,0.334788389023959,-17.6035404414292,2.31396060869757e-69,2.56598948499488e-66,"Down","Sig",2.56598948499488e-66,"SFRP4","SFRP4"
"ENSG00000179583.21",332.023973184054,-4.79810392627891,0.276447381186984,-17.3563008832902,1.76750970195696e-67,1.8816201283153e-64,"Down","Sig",1.8816201283153e-64,"CIITA","CIITA"
"ENSG00000121966.8",8500.09975184702,2.53971737951056,0.148382978611111,17.1159617045212,1.12836633565882e-65,1.15501314066246e-62,"Up","Sig",1.15501314066246e-62,"CXCR4","CXCR4"
"ENSG00000168874.13",387.183349825445,-6.25277617356085,0.368411523029449,-16.9722600480686,1.31761973445592e-64,1.2987826523263e-61,"Down","Sig",1.2987826523263e-61,"ATOH8","ATOH8"
"ENSG00000005884.18",4044.99713731519,2.78298603307769,0.165292166799121,16.8367690191868,1.31207759702692e-63,1.24712975597409e-60,"Up","Sig",1.24712975597409e-60,"ITGA3","ITGA3"
"ENSG00000135678.12",1159.03955049418,-4.29550038112071,0.256122323067679,-16.7712846333415,3.95857073743082e-63,3.63287591744772e-60,"Down","Sig",3.63287591744772e-60,"CPM","CPM"
"ENSG00000130287.14",917.500100041319,-4.67960722305783,0.280065122130326,-16.7089967771146,1.1271588765128e-62,9.99940211317055e-60,"Down","Sig",9.99940211317055e-60,"NCAN","NCAN"
"ENSG00000141682.12",987.894459313382,3.73115025395256,0.223552330411308,16.6902767109952,1.54254182237587e-62,1.3242970342165e-59,"Up","Sig",1.3242970342165e-59,"PMAIP1","PMAIP1"
"ENSG00000173546.7",7722.30534744331,2.40999763976949,0.144474593345273,16.6811173090479,1.79823865078193e-62,1.49557260787219e-59,"Up","Sig",1.49557260787219e-59,"CSPG4","CSPG4"
"ENSG00000105976.16",490.369781743428,5.33900405534062,0.323668579200706,16.4952806618585,3.96712209258149e-61,3.19942385975648e-58,"Up","Sig",3.19942385975648e-58,"MET","MET"
"ENSG00000104081.14",354.462389473296,-3.50058385183212,0.213684155700115,-16.3820468595943,2.56948747065048e-60,2.01130410423212e-57,"Down","Sig",2.01130410423212e-57,"BMF","BMF"
"ENSG00000115738.10",1767.14130677002,-2.85661998202482,0.174854049045053,-16.3371680417236,5.36893432319971e-60,4.08253765936106e-57,"Down","Sig",4.08253765936106e-57,"ID2","ID2"
"ENSG00000171848.16",1397.44927019389,2.6325560049113,0.161922476315703,16.258125893397,1.95630882646353e-59,1.44625564187501e-56,"Up","Sig",1.44625564187501e-56,"RRM2","RRM2"
"ENSG00000176971.4",5226.81466498939,-2.85997838844216,0.176531959165004,-16.2009100333439,4.96863136538696e-59,3.57392311238942e-56,"Down","Sig",3.57392311238942e-56,"FIBIN","FIBIN"
"ENSG00000104419.17",7607.26569720174,3.20411663486777,0.199452921750203,16.0645259380087,4.52309121860192e-58,3.16783025504925e-55,"Up","Sig",3.16783025504925e-55,"NDRG1","NDRG1"
"ENSG00000198768.11",233.937252147341,4.81628961841242,0.302751830020876,15.908374915786,5.54337732144174e-57,3.78285753930386e-54,"Up","Sig",3.78285753930386e-54,"APCDD1L","APCDD1L"
"ENSG00000129151.9",1233.36492852785,-3.64461424255227,0.231421970973639,-15.748782309729,7.00165587911675e-56,4.65855173917033e-53,"Down","Sig",4.65855173917033e-53,"BBOX1","BBOX1"
"ENSG00000166482.12",4267.85949866233,-2.9698931948753,0.190353175158031,-15.6020155293427,7.053173443509e-55,4.57836970794021e-52,"Down","Sig",4.57836970794021e-52,"MFAP4","MFAP4"
"ENSG00000138166.6",550.715617334506,3.09632972812709,0.198600789966842,15.5907221146705,8.41766252962105e-55,5.33399215626987e-52,"Up","Sig",5.33399215626987e-52,"DUSP5","DUSP5"
"ENSG00000203914.4",13705.3906934358,2.1609056399526,0.139078354284213,15.5373253521298,1.93908961693741e-54,1.20016118756214e-51,"Up","Sig",1.20016118756214e-51,"HSP90B3P","HSP90B3P"
"ENSG00000005513.11",858.881491212506,-3.5382225045975,0.232032945376182,-15.2487936523892,1.67702912079422e-52,1.0143739322913e-49,"Down","Sig",1.0143739322913e-49,"SOX8","SOX8"
"ENSG00000170454.6",629.034816320755,3.67637412201465,0.24176345509811,15.2064923150719,3.20248792143202e-52,1.85284812045634e-49,"Up","Sig",1.85284812045634e-49,"KRT75","KRT75"
"ENSG00000143369.15",4221.61982748946,2.99797018982946,0.197133941980645,15.2077828896852,3.13998458178402e-52,1.85284812045634e-49,"Up","Sig",1.85284812045634e-49,"ECM1","ECM1"
"ENSG00000132692.19",7997.84094435343,-3.84641262850249,0.254816763235024,-15.0948178591957,1.75170946832422e-51,9.91914804042143e-49,"Down","Sig",9.91914804042143e-49,"BCAN","BCAN"
"ENSG00000177108.5",670.32792976599,-2.67798821196676,0.177907865297327,-15.0526690177031,3.31582036392585e-51,1.83848423261506e-48,"Down","Sig",1.83848423261506e-48,"ZDHHC22","ZDHHC22"
"ENSG00000106366.9",1930.51666649437,2.29656394876791,0.152759923309446,15.0338118729986,4.40887834404207e-51,2.39465078057828e-48,"Up","Sig",2.39465078057828e-48,"SERPINE1","SERPINE1"
"ENSG00000196562.16",1013.18424058511,-3.09077097853135,0.205644311569303,-15.029693527359,4.69171351086334e-51,2.49730526756234e-48,"Down","Sig",2.49730526756234e-48,"SULF2","SULF2"
"ENSG00000164106.8",1022.51139975893,-4.18833573003116,0.281467066663251,-14.8803758097998,4.42009677511841e-50,2.30659716809807e-47,"Down","Sig",2.30659716809807e-47,"SCRG1","SCRG1"
"ENSG00000162873.15",2051.30815431868,-2.43475310943544,0.164412417980856,-14.808815169417,1.28485147423106e-49,6.57596867984334e-47,"Down","Sig",6.57596867984334e-47,"KLHDC8A","KLHDC8A"
"ENSG00000013588.10",726.47061209476,2.9180391195174,0.198417154076924,14.7065869031974,5.84836571492999e-49,2.93676236107824e-46,"Up","Sig",2.93676236107824e-46,"GPRC5A","GPRC5A"
"ENSG00000248394.1",314.751379707426,3.9900939028616,0.272352858416176,14.6504572269421,1.33812193980552e-48,6.59495876036745e-46,"Up","Sig",6.59495876036745e-46,NA,"ENSG00000248394.1"
"ENSG00000106688.12",1129.44035105459,3.38759171772409,0.231669178053147,14.6225395462272,2.01732863630249e-48,9.76166987755534e-46,"Up","Sig",9.76166987755534e-46,"SLC1A1","SLC1A1"
"ENSG00000056558.11",429.577919168655,3.12396557328998,0.213686683158111,14.6193741562196,2.11334019522633e-48,1.00436492778131e-45,"Up","Sig",1.00436492778131e-45,"TRAF1","TRAF1"
"ENSG00000108691.10",550.852285295379,-3.908723497119,0.269270796532598,-14.5159577178501,9.60073387861626e-48,4.48270055167532e-45,"Down","Sig",4.48270055167532e-45,"CCL2","CCL2"
"ENSG00000115884.11",3881.87055818022,2.35024496711427,0.16242471136015,14.4697499994505,1.88154794088779e-47,8.63370981013582e-45,"Up","Sig",8.63370981013582e-45,"SDC1","SDC1"
"ENSG00000132470.14",428.362324284398,-3.41181775652397,0.236884173857698,-14.4028944650964,4.96210729016695e-47,2.23833090543226e-44,"Down","Sig",2.23833090543226e-44,"ITGB4","ITGB4"
"ENSG00000107551.21",995.826758427489,-2.48697070270721,0.174167353779238,-14.2792012896948,2.94962612053841e-46,1.30835582620015e-43,"Down","Sig",1.30835582620015e-43,"RASSF4","RASSF4"
"ENSG00000198719.9",842.719554239806,-2.76879809143979,0.194985184093642,-14.2000434766883,9.15555921409255e-46,3.99452545776818e-43,"Down","Sig",3.99452545776818e-43,"DLL1","DLL1"
"ENSG00000011422.12",358.95842110039,3.08471447574851,0.217571715228374,14.1779204733053,1.25510986772647e-45,5.38766032575358e-43,"Up","Sig",5.38766032575358e-43,"PLAUR","PLAUR"
"ENSG00000018625.15",212.912981807545,-5.92371150796976,0.421418090365996,-14.056614187647,7.01636334586651e-45,2.96402371566494e-42,"Down","Sig",2.96402371566494e-42,"ATP1A2","ATP1A2"
"ENSG00000154330.13",571.990287358924,-2.79239990673112,0.202331645848653,-13.8011031097917,2.50982399539301e-43,1.04369462208421e-40,"Down","Sig",1.04369462208421e-40,"PGM5","PGM5"
"ENSG00000139318.8",4354.53767124886,2.55522702538427,0.185343142094509,13.7864665317982,3.0745442066732e-43,1.25886030025232e-40,"Up","Sig",1.25886030025232e-40,"DUSP6","DUSP6"
