"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000275496.4",29.451277195172,-0.197235314783347,0.4089048592333,-0.482350136785278,0.629557236623242,0.908470323961962,"Stable","Stable",0.908470323961962,"LOC102723360","LOC102723360"
"ENSG00000229267.3",29.2958879583949,-0.198831055812619,0.411701530564131,-0.482949518162278,0.629131580714941,0.908470323961962,"Stable","Stable",0.908470323961962,"SNHG31","SNHG31"
"ENSG00000231234.2",25.467372264965,-0.213745588891014,0.443095961525397,-0.482391191639789,0.629528077232717,0.908470323961962,"Stable","Stable",0.908470323961962,NA,"ENSG00000231234.2"
"ENSG00000256157.1",25.4678519864607,-0.213788828432767,0.442687512250711,-0.482933948928945,0.629142635783688,0.908470323961962,"Stable","Stable",0.908470323961962,NA,"ENSG00000256157.1"
"ENSG00000136928.7",23.9308657844311,-0.217056975349753,0.449480035575608,-0.482906821593952,0.629161897981043,0.908470323961962,"Stable","Stable",0.908470323961962,"GABBR2","GABBR2"
"ENSG00000261286.1",9.91374349834323,-0.353207796029118,0.732060603884975,-0.482484365576673,0.629461902177841,0.908470323961962,"Stable","Stable",0.908470323961962,"ATP2C2-AS1","ATP2C2-AS1"
"ENSG00000290586.1",621.220580842579,0.0470933165887292,0.0976903458852275,0.482067252009296,0.629758172471666,0.908516743613855,"Stable","Stable",0.908516743613855,NA,"ENSG00000290586.1"
"ENSG00000197024.9",477.534970988706,0.0524028909738093,0.108721664073733,0.48199125188399,0.62981216078138,0.908530336094624,"Stable","Stable",0.908530336094624,"ZNF398","ZNF398"
"ENSG00000134375.11",1386.86276608553,-0.0294069534396203,0.0610312410719226,-0.481834433040048,0.629923566641632,0.908568722915479,"Stable","Stable",0.908568722915479,"TIMM17A","TIMM17A"
"ENSG00000087076.9",50.1465978156854,-0.145789655206972,0.302575935083652,-0.481828322423151,0.62992790786262,0.908568722915479,"Stable","Stable",0.908568722915479,"HSD17B14","HSD17B14"
"ENSG00000293427.1",73.590494739132,0.130494633840133,0.270974124991792,0.481575994918653,0.63010718234012,0.908634435819883,"Stable","Stable",0.908634435819883,"PI4KAP2","PI4KAP2"
"ENSG00000234684.8",114.475057177729,0.0968062480334337,0.200989380223549,0.481648572306464,0.630055615085947,0.908634435819883,"Stable","Stable",0.908634435819883,"SDCBP2-AS1","SDCBP2-AS1"
"ENSG00000009335.19",4041.46810480355,0.0221175539749115,0.0459247379821753,0.48160435849402,0.630087029406584,0.908634435819883,"Stable","Stable",0.908634435819883,"UBE3C","UBE3C"
"ENSG00000290792.1",172.009680806896,0.0792116483589145,0.164512310320591,0.481493744781481,0.630165624397373,0.908654436197825,"Stable","Stable",0.908654436197825,NA,"ENSG00000290792.1"
"ENSG00000042088.14",1067.96153714315,-0.0367081626191425,0.0762703778301874,-0.481289901314919,0.630310473420607,0.908734746191832,"Stable","Stable",0.908734746191832,"TDP1","TDP1"
"ENSG00000285641.1",14.1652290899341,-0.279406586296574,0.580520838216226,-0.481303284745316,0.630300962859788,0.908734746191832,"Stable","Stable",0.908734746191832,NA,"ENSG00000285641.1"
"ENSG00000225159.1",2257.5094475653,0.0244503889983685,0.0508204797551102,0.481112911884897,0.630436251774634,0.908808635589583,"Stable","Stable",0.908808635589583,"NPM1P39","NPM1P39"
"ENSG00000215353.2",21.4082774102265,-0.262121054498186,0.544845639905785,-0.481092322852235,0.630450884161085,0.908808635589583,"Stable","Stable",0.908808635589583,NA,"ENSG00000215353.2"
"ENSG00000224609.8",43.1127781588354,0.161134484440885,0.335054599454705,0.480920079005416,0.630573301540736,0.908862101829164,"Stable","Stable",0.908862101829164,"HSD52","HSD52"
"ENSG00000244039.1",64.9979840262789,0.128639796577614,0.267489852567579,0.480914678978765,0.630577139618939,0.908862101829164,"Stable","Stable",0.908862101829164,NA,"ENSG00000244039.1"
"ENSG00000227879.2",112.611255286838,0.0974512935091805,0.202695459218991,0.480776894976689,0.630675073206199,0.908895265312965,"Stable","Stable",0.908895265312965,"PSPC1P1","PSPC1P1"
"ENSG00000283696.1",11.9511982301396,-0.368473058523442,0.766443690422933,-0.480756855497256,0.630689317331365,0.908895265312965,"Stable","Stable",0.908895265312965,NA,"ENSG00000283696.1"
"ENSG00000253772.1",7.68450381164091,0.379149624072668,0.78989988996793,0.479997058979286,0.631229484290983,0.908938036211168,"Stable","Stable",0.908938036211168,NA,"ENSG00000253772.1"
"ENSG00000227311.3",22.9140128828413,0.244956688561811,0.510267411393872,0.480055522050047,0.631187913768858,0.908938036211168,"Stable","Stable",0.908938036211168,"RPL21P20","RPL21P20"
"ENSG00000204314.12",26.8078317641863,0.221015386854394,0.459995487819242,0.480472945293853,0.630891136341533,0.908938036211168,"Stable","Stable",0.908938036211168,"PRRT1","PRRT1"
"ENSG00000244968.7",51.160414142245,0.146800713591784,0.305779910101156,0.480086195143495,0.631166103945784,0.908938036211168,"Stable","Stable",0.908938036211168,"LIFR-AS1","LIFR-AS1"
"ENSG00000163617.11",98.2996081019695,0.105105444922635,0.218928859175186,0.480089492626143,0.631163759319969,0.908938036211168,"Stable","Stable",0.908938036211168,"CCDC191","CCDC191"
