ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0006935,chemotaxis,19/237,474/18860,0.04008438818565401,3.1898378108921297,5.447110366732493,9.33948564781802e-6,0.0016318156867993151,0.001355590840811949,ROBO2/ROBO1/SLIT2/CMKLR1/SLIT3/SEMA7A/MTUS1/LGR6/PLXNA4/CAMK1D/DPP4/LEF1/FLRT3/CD74/NRG1/CCRL2/SEMA6D/CXCL14/EDN3,19
BP,GO:0042330,taxis,19/237,476/18860,0.03991596638655462,3.1764351310144305,5.425476413509737,9.910180284917127e-6,0.0016403956313718086,0.0013627184192334801,ROBO2/ROBO1/SLIT2/CMKLR1/SLIT3/SEMA7A/MTUS1/LGR6/PLXNA4/CAMK1D/DPP4/LEF1/FLRT3/CD74/NRG1/CCRL2/SEMA6D/CXCL14/EDN3,19
BP,GO:2000027,regulation of animal organ morphogenesis,8/237,84/18860,0.09523809523809523,7.578862768736187,6.817067805863962,1.0588708995032613e-5,0.0016650744894688783,0.001383219775035313,ROBO2/ROBO1/APCDD1/NTN4/BMP7/VANGL2/AJAP1/SHH,8
BP,GO:0003007,heart morphogenesis,14/237,278/18860,0.050359712230215826,4.007528154691436,5.698946150780186,1.203921803600067e-5,0.0017817571877109006,0.001480151063475343,ROBO2/ROBO1/SLIT2/SLIT3/PRICKLE1/BMP7/APLNR/FOXF1/VANGL2/NPY2R/SOX11/COL11A1/NRG1/SHH,14
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,14/237,279/18860,0.05017921146953405,3.9931642544954102,5.682072773452608,1.2535676702147315e-5,0.0017817571877109006,0.001480151063475343,PCDH19/ROBO2/ROBO1/PCDH7/CDH11/ELFN2/SLITRK2/PCDH10/CDH6/PCDHB5/UNC5D/FLRT3/DSG3/CDH9,14
BP,GO:1990138,neuron projection extension,11/237,174/18860,0.06321839080459771,5.030796837867986,6.025818448466807,1.3030338733656825e-5,0.0017817571877109006,0.001480151063475343,POSTN/RIMS1/SLIT2/SLIT3/SEMA7A/PRICKLE1/PLXNA4/FLRT3/CPNE9/SEMA6D/EDN3,11
BP,GO:0060560,developmental growth involved in morphogenesis,13/237,246/18860,0.052845528455284556,4.205344585091421,5.708619607226642,1.4885056895397013e-5,0.0018602857591954647,0.0015453867473259621,POSTN/RIMS1/SLIT2/SLIT3/SEMA7A/PRICKLE1/VANGL2/PLXNA4/FLRT3/CPNE9/SEMA6D/EDN3/SHH,13
BP,GO:1902742,apoptotic process involved in development,6/237,43/18860,0.13953488372093023,11.103915219311157,7.482684093435474,1.5271119913096962e-5,0.0018602857591954647,0.0015453867473259621,ROBO2/MEGF10/SLIT2/SLIT3/BMP7/LEF1,6
BP,GO:0001822,kidney development,15/237,323/18860,0.04643962848297214,3.69557549868715,5.512412616585627,1.5379150950423554e-5,0.0018602857591954647,0.0015453867473259621,ROBO2/CD24/SLIT2/TFAP2A/BMP7/PCSK9/VANGL2/SERPINF1/SOX11/MMP9/PCSK5/PBX1/GPR4/SHH/GPC3,15
BP,GO:0061138,morphogenesis of a branching epithelium,11/237,199/18860,0.05527638190954774,4.398787184869495,5.437405666675077,4.5196542483569675e-5,0.005150412982655002,0.0042785792060747105,SLIT2/NTN4/BMP7/FOXF1/VANGL2/LEF1/PBX1/FOXA1/SHH/GPC3/CSMD1,11
BP,GO:0099560,synaptic membrane adhesion,5/237,32/18860,0.15625,12.434071729957806,7.30268366333294,4.5854233231904627e-5,0.005150412982655002,0.0042785792060747105,ELFN2/SLITRK2/CDH6/FLRT3/CDH9,5
BP,GO:0048754,branching morphogenesis of an epithelial tube,10/237,166/18860,0.060240963855421686,4.793858980224696,5.538508038345798,4.875945029517508e-5,0.005232020413166261,0.004346372576513651,SLIT2/BMP7/FOXF1/VANGL2/LEF1/PBX1/FOXA1/SHH/GPC3/CSMD1,10
BP,GO:0048588,developmental cell growth,12/237,238/18860,0.05042016806722689,4.012339112860334,5.275794366555597,5.0214833625395456e-5,0.005232020413166261,0.004346372576513651,FOXP1/POSTN/RIMS1/SLIT2/SLIT3/SEMA7A/PRICKLE1/PLXNA4/FLRT3/CPNE9/SEMA6D/EDN3,12
BP,GO:0003281,ventricular septum development,7/237,77/18860,0.09090909090909091,7.234369006520905,6.183922941425332,5.157158435871354e-5,0.005232020413166261,0.004346372576513651,ROBO2/ROBO1/SLIT2/SLIT3/APLNR/VANGL2/SOX11,7
BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,10/237,168/18860,0.05952380952380952,4.736789230460116,5.488251931903633,5.395766193793684e-5,0.005303026462337855,0.004405359109538134,PCDH19/ROBO2/ROBO1/PCDH7/CDH11/PCDH10/CDH6/PCDHB5/DSG3/CDH9,10
BP,GO:0016049,cell growth,18/237,499/18860,0.036072144288577156,2.8705512290403594,4.7772766951093155,6.404569132072997e-5,0.005991328850041963,0.004977149428768858,IGFBP5/BST2/SERPINE2/FOXP1/POSTN/RIMS1/SLIT2/SLIT3/SEMA7A/PRICKLE1/PLXNA4/NPR1/FLRT3/PRR5/CPNE9/NRG1/SEMA6D/EDN3,18
BP,GO:0002830,positive regulation of type 2 immune response,4/237,18/18860,0.2222222222222222,17.684013127051102,7.988807516479651,6.477112270315636e-5,0.005991328850041963,0.004977149428768858,RSAD2/NOD2/IL18/CD74,4
BP,GO:1901888,regulation of cell junction assembly,13/237,285/18860,0.0456140350877193,3.6298763787104895,5.046636619662277,6.855542154314678e-5,0.006160194307234189,0.0051174302637621155,THY1/ROBO2/THBS2/PRICKLE1/APOD/SLITRK2/APLNR/SLITRK4/ADGRB1/FLRT3/DSG3/SRGAP3/LINGO4,13
BP,GO:0042574,retinal metabolic process,4/237,19/18860,0.21052631578947367,16.75327559404841,7.750047746426566,8.123668170022977e-5,0.0070969267763117405,0.005895597777192115,AKR1C1/CYP27C1/BCO1/AKR1C3,4
BP,GO:0001763,morphogenesis of a branching structure,11/237,214/18860,0.0514018691588785,4.090460980322568,5.129157003075939,8.701532340735491e-5,0.007396302489625167,0.006144296805037125,SLIT2/NTN4/BMP7/FOXF1/VANGL2/LEF1/PBX1/FOXA1/SHH/GPC3/CSMD1,11
BP,GO:0072132,mesenchyme morphogenesis,6/237,59/18860,0.1016949152542373,8.092683973396268,6.1553793365772025,9.545759960765055e-5,0.007806482370724324,0.00648504367639119,ROBO2/ROBO1/BMP7/APLNR/FOXF1/LEF1,6
BP,GO:0003279,cardiac septum development,8/237,114/18860,0.07017543859649122,5.584425198016137,5.538494029623591,9.680534577368797e-5,0.007806482370724324,0.00648504367639119,ROBO2/ROBO1/SLIT2/SLIT3/BMP7/APLNR/VANGL2/SOX11,8
BP,GO:0003180,aortic valve morphogenesis,5/237,39/18860,0.1282051282051282,10.202315265606405,6.489582317435005,1.2204626562530561e-4,0.009595887634789654,0.007971548191631803,ROBO2/ROBO1/CDH11/SLIT2/SLIT3,5
BP,GO:0060485,mesenchyme development,14/237,347/18860,0.040345821325648415,3.210642152749912,4.688711006647873,1.3372086354421537e-4,0.010257368679184324,0.008521057338042171,ROBO2/ROBO1/SEMA7A/BAMBI/PRICKLE1/BMP7/APLNR/FOXF1/LEF1/NRG1/FOXA1/SEMA6D/EDN3/SHH,14
BP,GO:1901890,positive regulation of cell junction assembly,8/237,120/18860,0.06666666666666667,5.30520393811533,5.337135639674237,1.385850978867511e-4,0.010377384115567434,0.008620757216915196,THY1/THBS2/SLITRK2/SLITRK4/ADGRB1/FLRT3/DSG3/LINGO4,8
BP,GO:0002685,regulation of leukocyte migration,11/237,233/18860,0.04721030042918455,3.7569040763477664,4.776797604652229,1.8408924059094579e-4,0.013464201433919173,0.011185054960752203,THY1/SLIT2/CMKLR1/MTUS1/APOD/JAM2/CAMK1D/DPP4/PTGER4/CD74/EDN3,11
BP,GO:0072203,cell proliferation involved in metanephros development,3/237,10/18860,0.3,23.873417721518987,8.161764615872933,2.2028134437567607e-4,0.015745109728670485,0.013079863558383446,BMP7/SHH/GPC3,3
BP,GO:0050807,regulation of synapse organization,13/237,322/18860,0.040372670807453416,3.2127787823990355,4.517968275496493,2.3018808139748935e-4,0.015960727303168804,0.01325898256763952,NEFL/ROBO2/GPM6A/THBS2/SEMA7A/PRICKLE1/SLITRK2/SLITRK4/VANGL2/ADGRB1/FLRT3/SRGAP3/LINGO4,13
BP,GO:0002367,cytokine production involved in immune response,8/237,130/18860,0.06153846153846154,4.897111327491075,5.029841286835297,2.4064138223776443e-4,0.015960727303168804,0.01325898256763952,BST2/TRIL/RSAD2/SEMA7A/NOD2/IL18/CD74/LAPTM5,8
BP,GO:0002718,regulation of cytokine production involved in immune response,8/237,130/18860,0.06153846153846154,4.897111327491075,5.029841286835297,2.4064138223776443e-4,0.015960727303168804,0.01325898256763952,BST2/TRIL/RSAD2/SEMA7A/NOD2/IL18/CD74/LAPTM5,8
BP,GO:0003176,aortic valve development,5/237,45/18860,0.1111111111111111,8.842006563525551,5.9414169195293765,2.4359774580353023e-4,0.015960727303168804,0.01325898256763952,ROBO2/ROBO1/CDH11/SLIT2/SLIT3,5
BP,GO:0031589,cell-substrate adhesion,14/237,369/18860,0.037940379403794036,3.0192217533989685,4.419017095857799,2.519835556447782e-4,0.016173230255159744,0.013435514180673246,THY1/CDH11/POSTN/APOD/NTN4/FOXF1/ITGBL1/FREM1/COL5A3/NPY2R/SVEP1/AJAP1/LEF1/ATP1B2,14
BP,GO:0007517,muscle organ development,14/237,373/18860,0.03753351206434316,2.9868440402257894,4.372135921498156,2.811394391452389e-4,0.017136988974740513,0.014236133088546883,MEGF10/MYH14/SOX6/VANGL2/DES/ADGRB1/SOX11/LEF1/COL11A1/COL19A1/NRG1/SHH/COL6A3/MYOZ2,14
BP,GO:0043588,skin development,13/237,329/18860,0.03951367781155015,3.1444217870288433,4.426570786384304,2.833460816173312e-4,0.017136988974740513,0.014236133088546883,IGFBP5/LDB2/APCDD1/VANGL2/KRT6A/COL5A3/IL18/SPRR3/SPRR2D/SLC39A2/AKR1C3/KPRP/SHH,13
BP,GO:0050803,regulation of synapse structure or activity,13/237,329/18860,0.03951367781155015,3.1444217870288433,4.426570786384304,2.833460816173312e-4,0.017136988974740513,0.014236133088546883,NEFL/ROBO2/GPM6A/THBS2/SEMA7A/PRICKLE1/SLITRK2/SLITRK4/VANGL2/ADGRB1/FLRT3/SRGAP3/LINGO4,13
BP,GO:0051965,positive regulation of synapse assembly,6/237,72/18860,0.08333333333333333,6.6315049226441625,5.400812773873454,2.890001238565821e-4,0.01714915829299907,0.014246242451083153,THBS2/SLITRK2/SLITRK4/ADGRB1/FLRT3/LINGO4,6
BP,GO:0030198,extracellular matrix organization,13/237,331/18860,0.03927492447129909,3.125422259614772,4.40090417639518,0.00030033644090602676,0.017491816789804705,0.014530897589254554,POSTN/GAS2/PRICKLE1/ADAMTS14/NTN4/FOXF1/COL5A3/C6orf15/DPP4/COL11A1/MMP9/COL19A1/SMOC1,13
BP,GO:0043062,extracellular structure organization,13/237,332/18860,0.0391566265060241,3.1160083371460527,4.388143556888517,3.091529459040466e-4,0.017677927543058664,0.014685504530791267,POSTN/GAS2/PRICKLE1/ADAMTS14/NTN4/FOXF1/COL5A3/C6orf15/DPP4/COL11A1/MMP9/COL19A1/SMOC1,13
BP,GO:0045229,external encapsulating structure organization,13/237,333/18860,0.03903903903903904,3.106650954752221,4.375430926080328,3.1818948284890964e-4,0.0178697486349968,0.014844855196071313,POSTN/GAS2/PRICKLE1/ADAMTS14/NTN4/FOXF1/COL5A3/C6orf15/DPP4/COL11A1/MMP9/COL19A1/SMOC1,13
BP,GO:1905314,semi-lunar valve development,5/237,49/18860,0.10204081632653061,8.120210109360201,5.629808070633487,3.6501042538857157e-4,0.02010770127678279,0.016703979439034355,ROBO2/ROBO1/CDH11/SLIT2/SLIT3,5
BP,GO:0050920,regulation of chemotaxis,10/237,214/18860,0.04672897196261682,3.7186008912023345,4.511990569841629,3.9036263200272094e-4,0.02010770127678279,0.016703979439034355,ROBO2/ROBO1/SLIT2/CMKLR1/MTUS1/PLXNA4/CAMK1D/DPP4/CD74/EDN3,10
BP,GO:0003272,endocardial cushion formation,4/237,28/18860,0.14285714285714285,11.36829415310428,6.193651774440474,3.926845162790634e-4,0.02010770127678279,0.016703979439034355,ROBO2/ROBO1/BMP7/APLNR,4
BP,GO:0021889,olfactory bulb interneuron differentiation,3/237,12/18860,0.25,19.89451476793249,7.385882789685924,0.00039639983439126644,0.02010770127678279,0.016703979439034355,ROBO2/ROBO1/SLIT2,3
BP,GO:0060601,lateral sprouting from an epithelium,3/237,12/18860,0.25,19.89451476793249,7.385882789685924,0.00039639983439126644,0.02010770127678279,0.016703979439034355,BMP7/VANGL2/SHH,3
BP,GO:0070099,regulation of chemokine-mediated signaling pathway,3/237,12/18860,0.25,19.89451476793249,7.385882789685924,0.00039639983439126644,0.02010770127678279,0.016703979439034355,ROBO1/SLIT2/SLIT3,3
BP,GO:0060562,epithelial tube morphogenesis,13/237,344/18860,0.0377906976744186,3.0073103718967715,4.238662576942677,4.3343136494581133e-4,0.021637168932612326,0.017974547164502988,FOXP1/SLIT2/PRICKLE1/BMP7/APLNR/FOXF1/VANGL2/LEF1/PBX1/FOXA1/SHH/GPC3/CSMD1,13
