category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,12/137,184/9392,0.06521739130434782,4.470961599492225,5.785009246453549,1.4714562807845155e-5,0.0029281979987611857,0.002834489467195435,ROBO2/ROBO1/SLIT2/SLIT3/SEMA7A/NTN4/BMP7/PLXNA4/UNC5D/SRGAP3/SEMA6D/SHH,12
NA,NA,hsa04517,IgSF CAM signaling,14/137,299/9392,0.046822742474916385,3.209921148353392,4.724836329374764,1.1322363103047242e-4,0.00822040117564517,0.007957330944951423,ROBO2/ROBO1/RIMS1/SLIT2/MYH14/SLIT3/KCNA2/SLITRK2/SLITRK4/EPB41L3/JAM2/PLXNA4/UNC5D/SRGAP3,14
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,8/137,103/9392,0.07766990291262135,5.3246403514988305,5.3692313766531585,1.2392564586399755e-4,0.00822040117564517,0.007957330944951423,COL21A1/COL5A3/DPP4/COL11A1/SLC7A7/COL19A1/ATP1B2/COL6A3,8
NA,NA,hsa04519,Cadherin signaling,16/137,404/9392,0.039603960396039604,2.715039387150394,4.287076579996578,2.543533756773107e-4,0.012654080439946206,0.012249123091828384,PCDH19/GABRE/PCDH7/CDH11/PRICKLE1/VANGL2/KRT6A/PCDH10/DES/GABRA2/CDH6/PCDHB5/LEF1/DSG3/GABRG2/CDH9,16
