ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007416,synapse assembly,8/169,208/18888,5.806501698170178e-4,0.020232796058131015,0.017027813727176596,GABRE/ROBO2/THBS2/GPM6A/SLITRK2/SLITRK4/PCDHB5/ADGRB1,8
BP,GO:0003184,pulmonary valve morphogenesis,3/169,19/18888,6.136568652740611e-4,0.021085931731778158,0.01774580818000136,ROBO1/ROBO2/SLIT2,3
BP,GO:1901888,regulation of cell junction assembly,8/169,215/18888,7.211598081919426e-4,0.0244404022666694,0.020568912770060024,THY1/ROBO2/THBS2/APOD/SLITRK2/SLITRK4/APLNR/ADGRB1,8
BP,GO:0002718,regulation of cytokine production involved in immune response,6/169,120/18888,7.39557223979634e-4,0.02472519692061641,0.020808594438573486,BST2/TRIL/RSAD2/NOD2/SEMA7A/LAPTM5,6
BP,GO:0003151,outflow tract morphogenesis,5/169,81/18888,8.002153973650167e-4,0.025912608773032714,0.0218079139484571,ROBO1/ROBO2/BMP7/PRICKLE1/SOX11,5
BP,GO:0002367,cytokine production involved in immune response,6/169,122/18888,8.064959076489568e-4,0.025912608773032714,0.0218079139484571,BST2/TRIL/RSAD2/NOD2/SEMA7A/LAPTM5,6
BP,GO:0030278,regulation of ossification,6/169,122/18888,8.064959076489568e-4,0.025912608773032714,0.0218079139484571,TFAP2A/BMP7/PTGER4/PBX1/SOX11/MGP,6
BP,GO:0016137,glycoside metabolic process,3/169,21/18888,8.312791828214837e-4,0.02636647049103014,0.022189881560335967,AKR1C1/AKR1C3/AKR1C2,3
BP,GO:0001654,eye development,11/169,393/18888,8.457729904391532e-4,0.02648661238413247,0.02229099233962219,THY1/GPM6A/TFAP2A/MAF/BMP7/PRICKLE1/PBX1/SOX11/COL8A1/PTPRM/CHRDL1,11
BP,GO:0010975,regulation of neuron projection development,12/169,460/18888,9.135178300397176e-4,0.028047482388438367,0.023604612247088073,THY1/NEFL/ROBO1/ROBO2/SLIT2/PLPPR5/SEMA7A/BMP7/CSMD3/PLXNA4/CXCL12/ATP1B2,12
BP,GO:0150063,visual system development,11/169,397/18888,9.182886311493565e-4,0.028047482388438367,0.023604612247088073,THY1/GPM6A/TFAP2A/MAF/BMP7/PRICKLE1/PBX1/SOX11/COL8A1/PTPRM/CHRDL1,11
BP,GO:1902644,tertiary alcohol metabolic process,3/169,22/18888,9.562346791952976e-4,0.028850299955233735,0.024280259248373542,AKR1C1/AKR1C3/AKR1C2,3
BP,GO:0022602,ovulation cycle process,4/169,50/18888,0.0010336811110662274,0.030532464422161423,0.025695959931513124,ROBO2/SLIT2/GAS2/SLIT3,4
BP,GO:0048880,sensory system development,11/169,403/18888,0.0010366721954169602,0.030532464422161423,0.025695959931513124,THY1/GPM6A/TFAP2A/MAF/BMP7/PRICKLE1/PBX1/SOX11/COL8A1/PTPRM/CHRDL1,11
BP,GO:0003177,pulmonary valve development,3/169,23/18888,0.0010924763075430878,0.031427748661181386,0.026449426393148446,ROBO1/ROBO2/SLIT2,3
BP,GO:0031290,retinal ganglion cell axon guidance,3/169,23/18888,0.0010924763075430878,0.031427748661181386,0.026449426393148446,ROBO2/SLIT2/PTPRM,3
BP,GO:0030900,forebrain development,11/169,408/18888,0.001144720075447442,0.03255215478916059,0.027395720619903696,NEFL/ROBO1/ROBO2/FOXP1/SLIT2/KCNA2/SEMA7A/PLXNA4/CXCL12/LEF1/ATP1B2,11
BP,GO:0060907,positive regulation of macrophage cytokine production,3/169,24/18888,0.0012403803141941827,0.034871601105868275,0.02934775432387672,NOD2/SEMA7A/LAPTM5,3
BP,GO:0048593,camera-type eye morphogenesis,6/169,133/18888,0.001262289633419684,0.03508881520314942,0.029530560554750274,THY1/TFAP2A/BMP7/SOX11/COL8A1/PTPRM,6
