ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0009953,dorsal/ventral pattern formation,8/453,90/18888,0.0014320364056429407,0.029345427897676073,0.02417536766396084,WNT7A/SHH/SFRP1/DSCAML1/SMAD6/CXXC4/NOG/BMPR1B,8
BP,GO:0061458,reproductive system development,17/453,311/18888,0.00144987417322275,0.029345427897676073,0.02417536766396084,UBB/WNT7A/RDH10/PTPRN/TNFAIP6/SHH/SFRP1/BMP5/UMODL1/WT1/GFRA1/WNT4/SOX15/CYP7B1/AXL/NOG/BMPR1B,17
BP,GO:0021892,cerebral cortex GABAergic interneuron differentiation,3/453,10/18888,0.0014503738356337022,0.029345427897676073,0.02417536766396084,DLX2/DLX1/DRD2,3
BP,GO:0032353,negative regulation of hormone biosynthetic process,3/453,10/18888,0.0014503738356337022,0.029345427897676073,0.02417536766396084,BMP5/BMP2/WNT4,3
BP,GO:0034651,cortisol biosynthetic process,3/453,10/18888,0.0014503738356337022,0.029345427897676073,0.02417536766396084,BMP5/BMP2/WNT4,3
BP,GO:0038063,collagen-activated tyrosine kinase receptor signaling pathway,3/453,10/18888,0.0014503738356337022,0.029345427897676073,0.02417536766396084,COL4A5/COL4A6/COL4A3,3
BP,GO:0051933,amino acid neurotransmitter reuptake,3/453,10/18888,0.0014503738356337022,0.029345427897676073,0.02417536766396084,SLC17A8/SLC6A11/ATP1A2,3
BP,GO:0090184,positive regulation of kidney development,3/453,10/18888,0.0014503738356337022,0.029345427897676073,0.02417536766396084,FOXD1/WNT4/NOG,3
BP,GO:1902645,tertiary alcohol biosynthetic process,3/453,10/18888,0.0014503738356337022,0.029345427897676073,0.02417536766396084,BMP5/BMP2/WNT4,3
BP,GO:0060538,skeletal muscle organ development,12/453,182/18888,0.0015183536097540442,0.030572453359685295,0.02518621650148839,HOMER1/FGFRL1/SHH/WNT10B/NEURL1/KLHL41/HOXD10/MSTN/WT1/HOXD9/PAX5/MYLK2,12
BP,GO:0033273,response to vitamin,8/453,91/18888,0.001537881213840131,0.03080148710800495,0.025374899218686776,EGFR/SPP1/FOLR1/SFRP1/ALPL/GAS6/ITGA2/CYP24A1,8
BP,GO:0019933,cAMP-mediated signaling,7/453,71/18888,0.0015445083506653156,0.03080148710800495,0.025374899218686776,PDE2A/GLP1R/PDE1A/ADCY2/GIPR/RASD2/GPR61,7
BP,GO:0010927,cellular component assembly involved in morphogenesis,10/453,135/18888,0.0015600439357386815,0.03096315773408964,0.025508086808920197,CCDC136/KLHL41/SYNPO2L/UGT8/MYLK3/CNTN1/FLNC/TNNT1/ACRBP/MYL9,10
BP,GO:0021700,developmental maturation,18/453,341/18888,0.0015716037621019015,0.031044760570809123,0.025575312905843865,CNTN2/C1QL1/PTPRN/WNT1/WNT10B/SHB/CDK5R2/NEURL1/BMP2/NFATC4/RAB32/ACTL6B/CDH3/CEBPA/CNGB1/AXL/RFLNA/ZNF664-RFLNA,18
BP,GO:0010001,glial cell differentiation,15/453,260/18888,0.0016043859357915227,0.03137223369154707,0.025845092004704147,NDRG1/EGFR/DLX2/DLX1/SHH/MMP24/SLC8A3/BMP2/MYRF/IL33/CNTN1/IL34/LAMC3/ROR1/NOG,15
BP,GO:0007411,axon guidance,14/453,234/18888,0.0016179847756193984,0.03137223369154707,0.025845092004704147,CNTN2/KIF5A/L1CAM/UNC5A/SHH/CDK5R2/LHX4/EPHA10/FOXD1/DSCAML1/CNTN1/SEMA3F/NOG/BMPR1B,14
BP,GO:0097485,neuron projection guidance,14/453,234/18888,0.0016179847756193984,0.03137223369154707,0.025845092004704147,CNTN2/KIF5A/L1CAM/UNC5A/SHH/CDK5R2/LHX4/EPHA10/FOXD1/DSCAML1/CNTN1/SEMA3F/NOG/BMPR1B,14
BP,GO:0009306,protein secretion,19/453,370/18888,0.001618289405873949,0.03137223369154707,0.025845092004704147,MTTP/EGFR/PCSK1/PTPRN/SYT4/RAB3C/LLGL2/NNAT/SFRP1/SYT7/DRD2/NOS2/KCNN4/CCN3/GIPR/ABCG1/PLEK/TCIRG1/GCK,19
BP,GO:0050433,regulation of catecholamine secretion,6/453,53/18888,0.0016288100644764973,0.03143000161452797,0.02589268240897824,SYT4/SYT12/SYT7/DRD2/GRM2/SYT13,6
BP,GO:0035592,establishment of protein localization to extracellular region,19/453,371/18888,0.001668840402572078,0.03181919129251392,0.026213304878316093,MTTP/EGFR/PCSK1/PTPRN/SYT4/RAB3C/LLGL2/NNAT/SFRP1/SYT7/DRD2/NOS2/KCNN4/CCN3/GIPR/ABCG1/PLEK/TCIRG1/GCK,19
BP,GO:0061035,regulation of cartilage development,7/453,72/18888,0.0016762305189380968,0.03181919129251392,0.026213304878316093,SMPD3/BMP2/GDF6/RFLNA/ZNF664-RFLNA/NOG/BMPR1B,7
BP,GO:1903532,positive regulation of secretion by cell,16/453,288/18888,0.0016777416724941359,0.03181919129251392,0.026213304878316093,EGFR/PCSK1/SPP1/SYT4/SMPD3/NNAT/SYT7/CDK5R2/DRD2/KCNN4/BMP2/GIPR/CADPS2/ABCG1/PLA2G4A/GCK,16
BP,GO:0072111,cell proliferation involved in kidney development,4/453,22/18888,0.0016947841811271811,0.03181919129251392,0.026213304878316093,PDGFB/SHH/BMP2/WT1,4
BP,GO:0086012,membrane depolarization during cardiac muscle cell action potential,4/453,22/18888,0.0016947841811271811,0.03181919129251392,0.026213304878316093,HCN4/ANK3/SCN5A/ATP1A2,4
BP,GO:0098801,regulation of renal system process,4/453,22/18888,0.0016947841811271811,0.03181919129251392,0.026213304878316093,PDGFB/DRD2/GAS6/NPR1,4
BP,GO:0045165,cell fate commitment,16/453,289/18888,0.0017380157878350397,0.03240341534312465,0.026694600679177845,GAS1/DLX2/DLX1/WNT7A/WNT1/SHH/SFRP1/WNT10B/EYA1/WNT10A/HOXD10/ZNF521/BMP2/DSCAML1/WT1/WNT4,16
BP,GO:0035270,endocrine system development,10/453,137/18888,0.0017414503447360655,0.03240341534312465,0.026694600679177845,PCSK1/OTP/SHH/BMP5/DRD2/BMP2/GIPR/WT1/WNT4/NOG,10
BP,GO:0002690,positive regulation of leukocyte chemotaxis,8/453,93/18888,0.0017681331966056873,0.03275368517090002,0.02698316017463276,SERPINE1/GAS6/PRSS56/MSTN/CMKLR1/CD74/RARRES2/IL34,8
BP,GO:0048146,positive regulation of fibroblast proliferation,6/453,54/18888,0.0017959769844655884,0.03312226580200253,0.027286804486850252,EGFR/PDGFB/WNT1/GAS6/CD74/AQP1,6
BP,GO:0071260,cellular response to mechanical stimulus,7/453,73/18888,0.0018165213486673938,0.03335357260460659,0.02747735979296563,EGFR/PDE2A/IL33/AQP1/ITGA2/ATP1A2/F11R,7
BP,GO:0042063,gliogenesis,18/453,346/18888,0.0018441067577539467,0.03371156564174759,0.0277722818273009,NDRG1/EGFR/CDKN2B/DLX2/DLX1/SHH/MMP24/CDK5R2/SLC8A3/BMP2/MYRF/IL33/CNTN1/IL34/CCL2/LAMC3/ROR1/NOG,18
BP,GO:0051952,regulation of amine transport,8/453,94/18888,0.0018930347851718154,0.03445488639561627,0.028384644767779646,SYT4/SYT12/SYT7/DRD2/GRM2/SLC17A8/ATP1A2/SYT13,8
BP,GO:0002158,osteoclast proliferation,3/453,11/18888,0.0019589198475234364,0.03486491571381426,0.0287224353617694,NPR3/TNFAIP3/TCIRG1,3
BP,GO:0031943,regulation of glucocorticoid metabolic process,3/453,11/18888,0.0019589198475234364,0.03486491571381426,0.0287224353617694,BMP5/BMP2/WNT4,3
BP,GO:0032342,aldosterone biosynthetic process,3/453,11/18888,0.0019589198475234364,0.03486491571381426,0.0287224353617694,BMP5/BMP2/WNT4,3
BP,GO:1904238,pericyte cell differentiation,3/453,11/18888,0.0019589198475234364,0.03486491571381426,0.0287224353617694,EPHA2/PDGFB/WNT4,3
BP,GO:0048663,neuron fate commitment,7/453,74/18888,0.001965752205553347,0.03486491571381426,0.0287224353617694,DLX2/DLX1/WNT1/SHH/EYA1/HOXD10/ZNF521,7
BP,GO:0051937,catecholamine transport,7/453,74/18888,0.001965752205553347,0.03486491571381426,0.0287224353617694,SYT4/SYT12/SYT7/DRD2/GRM2/SYT13/MAPK15,7
BP,GO:0048771,tissue remodeling,12/453,188/18888,0.0019955515445951332,0.03524346965200219,0.029034295889693685,IGFBP5/EGFR/EPHA2/SPP1/SFRP1/SYT7/NPR3/TPH1/LRRK1/TNFAIP3/TCIRG1/AXL,12
BP,GO:0007584,response to nutrient,11/453,164/18888,0.0020575159890242833,0.036184500600224524,0.029809536558726236,EGFR/CDKN2B/SPP1/FOLR1/SFRP1/ALPL/GAS6/SHANK2/GIPR/ITGA2/CYP24A1,11
BP,GO:0071692,protein localization to extracellular region,19/453,379/18888,0.0021235967028783863,0.037103458579225077,0.03056659306127695,MTTP/EGFR/PCSK1/PTPRN/SYT4/RAB3C/LLGL2/NNAT/SFRP1/SYT7/DRD2/NOS2/KCNN4/CCN3/GIPR/ABCG1/PLEK/TCIRG1/GCK,19
