category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,14/269,103/9392,0.13592233009708737,4.745659941531021,6.563352053827219,1.2531757903079426e-6,3.4963604549591597e-4,2.902091303871025e-4,COL4A5/COL5A1/ATP1A3/COL4A6/COL27A1/COL20A1/KCNN4/COL12A1/SLC8A3/ATP1A2/COL4A3/SLC8A1/COL1A2/COL14A1,14
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,14/269,116/9392,0.1206896551724138,4.213818741187028,5.980441223754281,5.28441304139612e-6,7.371756192747587e-4,6.118794047932349e-4,HOMER1/GRIK5/GRIK1/GNG11/SLC1A2/SHANK2/ADCY2/GNG3/GRM2/GNG8/PLA2G4A/SLC17A8/CACNA1A/CACNA1D,14
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,9/269,63/9392,0.14285714285714285,4.987785448751991,5.453153658132604,6.928526969979312e-5,0.00644353008208076,0.005348336608405084,WNT7A/SHH/GADD45G/WNT1/WNT10B/WNT10A/FZD9/BMP2/GLI1,9
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,18/269,233/9392,0.07725321888412018,2.6972573671362703,4.504689448946891,1.2348381459735167e-4,0.008612996068165278,0.0071490629503729915,COL4A5/COL5A1/ATP1A3/COL4A6/COL27A1/FBLN1/ANK3/ITGA2/CKM/FLNC/ATP1A2/ITGA10/SGCG/COL4A3/COL1A2/MYL9/TNNT1/LMOD2,18
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,16/269,203/9392,0.07881773399014778,2.7518816268976503,4.33293200587838,2.3358336774869488e-4,0.01216167080937537,0.010094576789521153,COL4A5/SPP1/EGFR/PDGFB/COL4A6/VAV3/LAMB3/ITGA2/RASGRF1/PIK3CD/MYLK3/ITGA10/COL4A3/COL1A2/MYL9/LAMC3,16
Human Diseases,Substance dependence,hsa05032,Morphine addiction,10/269,91/9392,0.10989010989010989,3.836758037501532,4.669188324235579,2.615413077285026e-4,0.01216167080937537,0.010094576789521153,KCNJ9/GABRQ/PDE2A/GNG11/ADCY2/GNG3/PDE1A/GABRA5/GNG8/CACNA1A,10
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,10/269,93/9392,0.10752688172043011,3.7542471119638643,4.583418105555875,3.1269976836141816e-4,0.012463319338976523,0.01034495474278376,CDKN2B/COL4A5/GADD45G/COL4A6/NOS2/LAMB3/ITGA2/PIK3CD/COL4A3/LAMC3,10
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,11/269,115/9392,0.09565217391304348,3.3396476482948114,4.334697767976017,4.4154856329146094e-4,0.015399006144789701,0.012781668937384397,KCNJ9/KCNN2/GNG11/TPH1/GNG3/DDC/GNG8/PLA2G4A/CACNA1A/CACNA1D/ALOX5,11
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,13/269,157/9392,0.08280254777070063,2.8910094002320457,4.10287501069448,5.606621313217003e-4,0.01738052607097271,0.014426394022312758,CTNNA2/WNT7A/SERPINE1/WNT1/WNT10B/BMP5/WNT10A/FZD9/NKD1/LLGL2/BMP2/BMPR1B/GDF6,13
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,12/269,140/9392,0.08571428571428572,2.992671269251195,4.078919062333504,6.68423115208343e-4,0.018649004914312768,0.01547927214166689,SPP1/SERPINE1/GNG11/NOS2/RYR3/ADCY2/SLC8A3/GNG3/MYLK3/GNG8/SLC8A1/RYR1,12
