category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,51/1190,158/9422,6.826049179286065e-11,2.3754651143915508e-8,1.79632873139107e-8,ORC1/TRIP13/CDK1/MCM4/MAD2L1/ORC6/CDK2/CDC45/CCNB1/PLK1/CCNB2/BUB1/MCM3/CCNE2/CDC25A/CDCA5/MYC/CDT1/CCNA2/NDC80/E2F1/TTK/SGO1/MCM6/ESCO2/ESPL1/MCM2/FBXO5/CDC6/AURKB/GADD45A/MCM5/TICRR/PCNA/CCND1/WEE1/CDKN1A/KNL1/CHEK1/PKMYT1/DBF4/BUB1B/CDC25C/E2F2/CDC7/CDC20/TGFB3/PTTG2/PTTG1/RBL1/PRKDC,51
NA,NA,hsa04820,Cytoskeleton in muscle cells,64/1190,233/9422,6.003716790189087e-10,1.0446467214929012e-7,7.899627355511957e-8,ATP1B2/SDC3/ITGA3/SDC1/ITGB4/ATP1A2/ITGA5/DIAPH3/TPM4/XIRP1/COL3A1/ACTN2/FHL2/MYH9/LMNB2/COL1A1/TPM3/AGRN/ATP1A1/ITGA1/ANK3/FBLN2/COL1A2/LMNB1/THBS2/NID1/THBS4/MYBPC2/AMPD3/DSG2/ITGA9/ITGA6/TMOD4/TMOD1/ACTG2/FBLN1/COL9A1/MYH15/PDLIM2/ELN/MYH7B/BGN/MYL5/MYH11/MYH7/MYH3/FBN2/ATP1B4/CSRP3/PDLIM1/TMOD2/LMOD1/MYOZ2/SYNE1/LDB3/TRIM55/PDLIM3/SGCG/TNNT3/COL9A2/MYPN/FBN3/FMN2/COMP,64
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,51/1190,184/9422,2.462098309535616e-8,2.8560340390613148e-6,2.1597353592417685e-6,CXCR4/MET/L1CAM/EFNA1/RGMA/SEMA5B/SRGAP1/LRRC4/EPHB1/ABLIM3/EPHA4/PLXNB1/PLXNA2/PIK3R3/NTN1/SEMA6B/NRP1/EPHB3/PLXNB3/SEMA3A/SLIT3/EFNB3/EFNB1/NTNG2/NGEF/SEMA6C/BOC/SHH/SMO/EPHA2/PAK3/CFL2/SRGAP3/EFNA5/ABLIM1/SEMA6D/SSH3/SEMA6A/SEMA7A/EPHA7/MYL5/PTCH1/SLIT2/ROBO2/PLXNC1/NTNG1/NTN3/ABLIM2/NTN4/RAC2/PIK3R2,51
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,17/1190,36/9422,3.836415865918101e-7,3.337681803348748e-5,2.5239578065250666e-5,MCM4/MCM3/MCM6/FEN1/RFC3/MCM2/MCM5/PCNA/RFC5/POLD3/RFC4/PRIM2/POLE2/PRIM1/POLD1/DNA2/POLA2,17
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,59/1190,254/9422,1.676103789547728e-6,1.1665682375252186e-4,8.821598892356464e-5,NOS2/CXCR4/MET/P2RX7/ADRA1B/PLCD3/ADCY1/PHKG1/CACNA1G/PDGFA/MYLK/CALM1/PLCD4/PDGFRB/FGFR2/MST1/EDNRB/ADCY3/ITPR3/HRH2/FGF1/TGFA/PHKA2/ITPKA/PDGFB/ITPKC/PLCD1/CACNA1E/MCU/FGF21/ATP2B1/ADRA1D/NTRK2/GNA14/PTK2B/CHRM1/SLC8A1/SPHK1/ADCY7/GRIN2D/P2RX6/CALML6/SLN/CAMK1G/ITPR2/RET/PRKCG/FGFR3/FGF7/FGF18/CASQ1/GRIN2B/ADCY2/GDNF/CHRM5/GRIN2C/CHRFAM7A/PDE1C/CACNA1I,59
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,25/1190,75/9422,2.5883487067674713e-6,1.5012422499251332e-4,1.135240660862926e-4,ATP1B2/GPX3/ATP1A2/HSP90B1/ADCY1/TG/TTF2/ADCY5/ATP1A1/ADCY3/ITPR3/PAX8/ADCY7/CREB3L4/ALB/CREB5/ATP1B4/ITPR2/CREB3L1/PRKCG/CREB3L2/FXYD2/DUOX2/ADCY2/ASGR1,25
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,75/1190,362/9422,7.002815207008714e-6,3.481399560055761e-4,2.632637295867938e-4,ITGA3/MET/ITGB4/HSP90B1/EFNA1/ITGA5/CDK2/SGK1/LAMB3/CCNE2/PDGFA/MYC/KITLG/PIK3R3/TNN/PPP2R2B/SPP1/COL1A1/PDGFRB/FGFR2/LPAR4/MYB/CCND1/ITGA1/IL6R/CDKN1A/COL1A2/FGF1/TGFA/THBS2/PIK3AP1/CSF1R/LAMA5/GNG4/THBS4/BRCA1/PDGFB/PCK2/EPHA2/ITGA9/ITGA6/TNC/FGF21/EPOR/EFNA5/NTRK2/AKT3/PPP2R3A/CHAD/CHRM1/COL9A1/MAGI1/CREB3L4/PRKAA2/EIF4EBP1/CREB5/NRTN/GHR/CREB3L1/LAMC1/GNB4/RET/PHLPP2/LPAR2/FGFR3/CREB3L2/FGF7/EPO/FGF18/TNR/PIK3R2/COL9A2/GDNF/LAMC3/COMP,75
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,26/1190,89/9422,2.4317893766707828e-05,0.0010578283788517905,7.999307160101259e-4,ITGA3/SDC1/ITGB4/ITGA5/NPNT/LAMB3/HMMR/TNN/SPP1/COL1A1/AGRN/ITGA1/COL1A2/THBS2/LAMA5/THBS4/ITGA9/ITGA6/TNC/CHAD/COL9A1/LAMC1/TNR/COL9A2/LAMC3/COMP,26
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,27/1190,98/9422,5.373812543689279e-5,0.0020778741835598543,0.0015712902174530058,AGT/ATP1B2/ATP1A2/ADCY1/CACNA1G/LDLR/CALM1/ADCY5/ATP1A1/ADCY3/ITPR3/LIPE/ATP2B1/KCNK3/ADCY7/CREB3L4/CYP21A2/CALML6/CAMK1G/CREB5/ATP1B4/ITPR2/CREB3L1/PRKCG/CREB3L2/ADCY2/CACNA1I,27
NA,NA,hsa04518,Integrin signaling,37/1190,154/9422,6.701189188672332e-5,0.002332013837657971,0.0017634708391242977,ITGA3/MET/ITGB4/ITGA5/NPNT/LAMB3/PDGFA/PIK3R3/TNN/SPP1/COL1A1/PDGFRB/ACTN1/CCND1/ITGA1/MADCAM1/COL1A2/THBS2/ARHGEF6/LAMA5/THBS4/PDGFB/ITGA9/ITGA6/TNC/AKT3/CHAD/COL9A1/CDH1/LAMC1/TNR/RAC2/PIK3R2/COL9A2/VCAM1/LAMC3/COMP,37
