category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,24/1190,86/9422,1.1035252650142726e-4,0.0033952318288852958,0.0025674771845775077,ATP1B2/ATP1A2/ADCY1/KCNN4/SLC2A1/ADCY5/ATP1A1/ADCY3/ITPR3/KCNMA1/ABCC8/KCNJ11/ADCY7/CREB3L4/KCNMB2/CREB5/CCK/ATP1B4/CREB3L1/KCNMB4/PRKCG/CREB3L2/FXYD2/ADCY2,24
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,22/1190,76/9422,1.1707695961673434e-4,0.0033952318288852958,0.0025674771845775077,ATP1B2/ATP1A2/ADCY1/KCNK10/MYLK/CALM1/KCNJ10/ADCY5/ATP1A1/ADCY3/ITPR3/HRH2/KCNJ2/SSTR2/ADCY7/CALML6/ATP1B4/ITPR2/PRKCG/KCNK2/ADCY2/KCNJ16,22
Genetic Information Processing,Replication and repair,hsa03460,Fanconi anemia pathway,17/1190,54/9422,2.263751208572225e-4,0.0056706879420459315,0.004288179024535641,RMI2/FANCD2/EME1/RAD51/UBE2T/FANCI/BRCA2/POLH/BLM/FANCA/BRCA1/FANCB/FAAP100/FANCM/RMI1/BRIP1/POLN,17
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,36/1190,157/9422,2.281311241052961e-4,0.0056706879420459315,0.004288179024535641,SERPINE1/CDK1/FOXM1/CDK2/CCNB1/CCNB2/CCNE2/CDC25A/MYC/IGFBP3/CCNA2/E2F1/CALM1/MYBL2/PIK3R3/GADD45A/MRAS/ITPR3/MAP2K6/CCND1/CDKN1A/CHEK1/RASSF5/E2F2/ZFP36L2/MCU/TGFB3/AKT3/LIN9/RBL1/LIN54/CALML6/EIF4EBP1/ITPR2/CXCL8/PIK3R2,36
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,26/1190,103/9422,3.439938986210522e-4,0.007980658448008411,0.00603498067756232,ATP1B2/SLC1A1/ATP1A2/KCNN4/COL20A1/COL8A1/DPP4/COL3A1/SLC1A5/COL1A1/COL16A1/ATP1A1/COL1A2/SLC16A10/COL9A1/SLC8A1/ELN/COL26A1/COL21A1/CPB1/ATP1B4/SLC7A7/COL28A1/FXYD2/COL9A2/COL23A1,26
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,26/1190,106/9422,5.549653416577152e-4,0.012062768393169894,0.009121875675415832,ETV5/HSP90B1/CDK2/CCNE2/PDGFA/E2F1/PIK3R3/PDGFRB/FGFR2/PLAU/TCF7/CCND1/CDKN1A/TGFA/MMP9/PDGFB/E2F2/PLAT/AKT3/CREB3L4/CREB5/CREB3L1/CREB3L2/ERG/PIK3R2/FOLR1,26
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,31/1190,135/9422,5.892731686318627e-4,0.012062768393169894,0.009121875675415832,AGT/ADRA1B/ADCY1/ADM/NPPC/MYLK/MYH9/PRKCD/CALM1/ADCY5/ADCY3/ITPR3/KCNMA1/PLA2G6/RAMP3/ADRA1D/ACTG2/ADCY7/RAMP1/MYH11/CALML6/KCNMB2/ADM2/ITPR2/KCNMB4/ACTA2/PRKCG/IRAG1/JMJD7-PLA2G4B/PRKCH/ADCY2,31
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,34/1190,154/9422,7.001362401386817e-4,0.012879922551927532,0.009739808342352944,AGT/ATP1B2/ATP1A2/ADRA1B/ADCY1/TPM4/CACNB4/CALM1/PPP2R2B/ADCY5/TPM3/CACNG7/ATP1A1/ADCY3/CACNG8/ATP2B1/ADRA1D/SCN1B/AKT3/PPP2R3A/SCN5A/SLC8A1/ADCY7/CREB3L4/SCN4B/MYH7/CALML6/CREB5/ATP1B4/CREB3L1/CREB3L2/FXYD2/KCNK2/ADCY2,34
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,35/1190,160/9422,7.032141623178825e-4,0.012879922551927532,0.009739808342352944,SDC3/SDC1/PECAM1/L1CAM/LRRC4B/NLGN3/LRRC4/CDH15/CD34/NRXN2/CXADR/CLDN4/SLITRK3/NTNG2/MADCAM1/ICOSLG/LOC102723996/CDH4/SLITRK1/ITGA9/ITGA6/NCAM1/CLDN11/HLA-DRB1/NRCAM/HLA-DRA/SIGLEC1/CADM1/CDH1/NTNG1/OCLN/F11R/SLITRK4/CLDN1/VCAM1,35
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,20/1190,75/9422,7.641607349845664e-4,0.013296396788731455,0.010054746512954823,PMAIP1/RRM2/SERPINE1/CDK1/CDK2/CCNB1/CCNB2/CCNE2/GTSE1/IGFBP3/PERP/GADD45A/CCND1/CDKN1A/CHEK1/FAS/SESN3/ADGRB1/TP53I3/BBC3,20
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,18/1190,65/9422,8.537670115236438e-4,0.013805493126628949,0.010439725594849477,AGT/ADCY1/CACNA1G/LDLR/ADCY5/ADCY3/ITPR3/KCNK3/ADCY7/CREB3L4/CYP21A2/CREB5/ITPR2/CREB3L1/CREB3L2/KCNK2/ADCY2/CACNA1I,18
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,31/1190,138/9422,8.727610597294163e-4,0.013805493126628949,0.010439725594849477,AURKA/CDK1/ADCY1/MAD2L1/CDK2/CCNB1/PLK1/CCNB2/BUB1/CCNE2/RPS6KA1/SGO1/CALM1/ESPL1/FBXO5/ADCY5/ADCY3/ITPR3/PKMYT1/CDC25C/CDC20/PTTG2/RPS6KA3/PTTG1/ADCY7/CALML6/FBXO43/ITPR2/SPDYC/ADCY2/REC8,31
Genetic Information Processing,Replication and repair,hsa03440,Homologous recombination,13/1190,41/9422,0.0011282638001000123,0.01707112184499149,0.01290919679748298,RAD54L/EME1/RAD51/XRCC2/BRCA2/XRCC3/BLM/POLD3/RBBP8/BRCA1/BARD1/POLD1/BRIP1,13
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,61/1190,333/9422,0.001547404452308975,0.02243736455848014,0.016967154082335255,APC2/ITGA3/ITGB4/ITGA5/CDK2/WNT9A/LAMB3/CCNE2/STAT2/CCNA2/E2F1/PIK3R3/TNN/PPP2R2B/HEY2/SPP1/WNT11/COL1A1/PDGFRB/TCF7/CCND1/ITGA1/CDKN1A/COL1A2/THBS2/FAS/LAMA5/THBS4/RBPJL/PTGER4/HES5/FZD2/UBE3A/ITGA9/ITGA6/TNC/TUBG1/MFNG/HES6/AKT3/PPP2R3A/CHAD/RBL1/COL9A1/FZD9/MAGI1/CREB3L4/EIF4EBP1/CREB5/IRF9/CREB3L1/LAMC1/CREB3L2/WNT16/TNR/HES7/PIK3R2/COL9A2/LAMC3/ATP6V1C2/COMP,61
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,21/1190,85/9422,0.0016551420998630584,0.023039578030093773,0.01742254841961114,RRM2/AK4/PNP/TYMS/NT5E/UCK2/HPRT1/ENTPD1/ADA/RRM1/ENPP1/CTPS1/UPP1/AMPD3/TK1/ENTPD2/DCK/GMPS/XDH/ADA2/NME3,21
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,18/1190,69/9422,0.001806239324473501,0.023291732502840903,0.01761322784546348,FOS/MAOB/GRIA1/PPP1R1B/CALM1/ADCY5/GRIA3/GRIN2D/CREB3L4/CALML6/CREB5/CREB3L1/SLC18A1/PRKCG/CREB3L2/GRIA2/GRIN2B/GRIN2C,18
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,42/1190,212/9422,0.0018071171769445528,0.023291732502840903,0.01761322784546348,ID1/MET/EFNA1/ADCY1/RAPGEF5/PDGFA/KITLG/CALM1/PIK3R3/PDGFRB/FGFR2/ADCY5/LPAR4/ADCY3/MRAS/MAP2K6/DRD2/CNR1/FGF1/RASSF5/CSF1R/PDGFB/EPHA2/P2RY1/FGF21/EFNA5/AKT3/VAV3/MAGI1/ADCY7/ARAP3/CALML6/CDH1/PRKCG/LPAR2/FGFR3/FGF7/FGF18/RAC2/PIK3R2/GRIN2B/ADCY2,42
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,30/1190,139/9422,0.0020443504964182315,0.02540835616976945,0.019213820455058567,FOS/HSP90B1/ADCY1/KRT18/HSPA6/PRKCD/CALM1/PIK3R3/ADCY5/ADCY3/ITPR3/SHC2/FKBP5/TGFA/GABBR2/MMP9/GPER1/KCNJ9/SHC4/CTSD/AKT3/ADCY7/CREB3L4/CALML6/CREB5/ITPR2/CREB3L1/CREB3L2/PIK3R2/ADCY2,30
Cellular Processes,Cell motility,hsa04814,Motor proteins,39/1190,195/9422,0.002164699733376101,0.025976396800513214,0.019643373261126144,KIF26B/KIF20B/KIF2C/KIFC1/TPM4/CENPE/KIF18B/MYH9/TUBB/TUBB6/TPM3/KIF23/KIF4A/KIF20A/MYO15B/KIF14/KIF15/KIF11/KIF4B/DYNLT3/KIF18A/DYNLT5/TUBG1/ACTG2/TUBB4B/MYH15/DNAI4/MYH7B/MYL5/MYH11/MYH7/MYH3/MYO1F/DNAI1/ACTA2/DNAH1/TNNT3/KIF19/DYNC2H1,39
Genetic Information Processing,Replication and repair,hsa03410,Base excision repair,13/1190,44/9422,0.0023150028674477924,0.02685403326239439,0.02030704269691046,NEIL3/FEN1/RFC3/NEIL1/PCNA/RFC5/POLD3/TDP1/RFC4/POLE2/POLD1/POLL/MUTYH,13
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,23/1190,99/9422,0.0024401007632226636,0.027392098890370548,0.020713928380497994,ADCY1/TRPM8/PRKCD/CALM1/PIK3R3/ADCY5/ADCY3/ITPR3/MAP2K6/PLA2G6/PTGER4/ADCY7/CALML6/IL1RAP/TRPV1/ITPR2/PRKCG/JMJD7-PLA2G4B/PIK3R2/PRKCH/ADCY2/F2RL1/IL1B,23
NA,NA,hsa04517,IgSF CAM signaling,55/1190,300/9422,0.002528685183056765,0.027499451365742323,0.02079510841329577,L1CAM/LRRC4B/ITGA5/SRGAP1/NLGN3/ARF6/MYLK/MYH9/PMP2/PLXNA2/PIK3R3/CADM4/NTN1/NRP1/TUBB/TUBB6/MSN/ACTN1/SLIT3/CXADR/SLITRK3/ANK3/SORBS1/SLITRK1/PAK3/GLDN/SRGAP3/AKT3/NCAM1/TUBB4B/LMO7/VAV3/MAGI1/NRP2/NRCAM/MTSS1/SSX2IP/KIRREL1/MYH11/EPB41L2/SLIT2/IL1RAP/CADM1/ROBO2/CDH1/F11R/PRKCG/SLITRK4/LYN/KCNA1/IQGAP1/GRIP2/DOK2/PIK3R2/SCN8A,55
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,14/1190,50/9422,0.0027864976920151984,0.02910631827898,0.022010222534013916,MET/CCL2/SDC1/PECAM1/THBS2/THBS4/TGFB3/GYPC/CXCL8/HBA2/VCAM1/HBA1/IL1B/COMP,14
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,31/1190,148/9422,0.002843720751394598,0.02910631827898,0.022010222534013916,FOS/APC2/DLL1/WNT9A/MYC/DLL3/E2F1/PIK3R3/HEY2/WNT11/BRCA2/GADD45A/TCF7/SHC2/CCND1/CDKN1A/FGF1/BRCA1/HES5/FZD2/E2F2/JAG2/SHC4/FRAT1/FGF21/AKT3/FZD9/FGF7/FGF18/WNT16/PIK3R2,31
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,44/1190,232/9422,0.0034241120890678707,0.03404545734273197,0.02574520367720204,APC2/CXCR4/ITGA3/ITGB4/ITGA5/DIAPH3/PDGFA/IQGAP3/MYLK/FGD3/MYH9/PIK3R3/PDGFRB/FGFR2/LPAR4/MSN/MRAS/ACTN1/ITGA1/FGF1/ARHGEF6/PDGFB/PAK3/CFL2/CYFIP2/ITGA9/CYRIA/ITGA6/FGF21/AKT3/SSH3/CHRM1/VAV3/MYL5/MYH11/IQGAP2/LPAR2/FGFR3/IQGAP1/FGF7/FGF18/RAC2/PIK3R2/CHRM5,44
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,22/1190,97/9422,0.00409921339713871,0.039625729505674195,0.029965010213002265,FOS/ADCY1/CACNA1G/GRIA1/CALM1/ADCY5/ADCY3/ITPR3/GNG4/GRIA3/KCNJ9/ADCY7/GRIN2D/NOS1AP/CALML6/GNB4/PRKCG/GRIA2/GRIN2B/ADCY2/GRIN2C/CACNA1I,22
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,54/1190,301/9422,0.0044106035507613835,0.041257746491554725,0.031199142839953665,FOS/MET/DUSP5/DUSP6/EFNA1/MAP3K12/CACNA1G/RPS6KA1/HSPA6/PDGFA/MYC/MAPK8IP1/CACNB4/KITLG/PDGFRB/FGFR2/DUSP9/GADD45A/CACNG7/NLK/MRAS/DUSP4/MAP2K6/MAPK8IP2/FGF1/TGFA/CSF1R/FAS/TAOK3/CACNG8/PDGFB/EPHA2/MAP3K20/CACNA1E/FGF21/EFNA5/TGFB3/NTRK2/RPS6KA3/AKT3/IL1RAP/NRTN/RET/DUSP8/PRKCG/FGFR3/FGF7/FGF18/JMJD7-PLA2G4B/MAP3K5/RAC2/IL1B/GDNF/CACNA1I,54
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,39/1190,203/9422,0.004505156226089309,0.041257746491554725,0.031199142839953665,ITGA3/MET/ITGB4/ITGA5/LAMB3/PDGFA/MYLK/PIK3R3/TNN/SPP1/COL1A1/PDGFRB/SHC2/ACTN1/CCND1/ITGA1/COL1A2/THBS2/LAMA5/THBS4/PDGFB/PAK3/ITGA9/ITGA6/TNC/SHC4/AKT3/CHAD/COL9A1/VAV3/MYL5/LAMC1/PRKCG/TNR/RAC2/PIK3R2/COL9A2/LAMC3/COMP,39
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",26/1190,122/9422,0.004695754970579,0.04190058281439723,0.031685256211734146,FOS/ADCY1/IGFBP3/PIK3R3/ADCY5/ADCY3/ITPR3/MAP2K6/SHC2/JUNB/SOCS3/IGFALS/SHC4/AKT3/SOCS1/SSTR2/ADCY7/CREB3L4/CREB5/GHR/ITPR2/CREB3L1/PRKCG/CREB3L2/PIK3R2/ADCY2,26
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,33/1190,166/9422,0.005020364805812463,0.04309540330044168,0.03258878047522813,ATP1B2/ATP1A2/ADRA1B/ADCY1/NPPC/MYLK/CALM1/ADCY5/ATP1A1/EDNRB/ADCY3/ITPR3/KCNMA1/RGS2/ATP2B1/ADRA1D/AKT3/SLC8A1/ADCY7/CREB3L4/MYH7/CALML6/KCNMB2/CREB5/ATP1B4/ITPR2/CREB3L1/KCNMB4/IRAG1/ADRA2A/CREB3L2/FXYD2/ADCY2,33
Organismal Systems,Digestive system,hsa04970,Salivary secretion,21/1190,93/9422,0.005248325154620644,0.04309540330044168,0.03258878047522813,ATP1B2/ATP1A2/ADRA1B/ADCY1/KCNN4/CALM1/ADCY5/ATP1A1/ADCY3/ITPR3/KCNMA1/ATP2B1/ADRA1D/ADCY7/DMBT1/CALML6/ATP1B4/ITPR2/PRKCG/FXYD2/ADCY2,21
Genetic Information Processing,Replication and repair,hsa03430,Mismatch repair,8/1190,23/9422,0.005384174015926832,0.04309540330044168,0.03258878047522813,EXO1/RFC3/PCNA/RFC5/POLD3/RFC4/POLD1/MSH6,8
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,8/1190,23/9422,0.005384174015926832,0.04309540330044168,0.03258878047522813,ATP1B2/ATP1A2/SLC38A3/ATP1A1/PCK2/AQP1/ATP1B4/FXYD2,8
NA,NA,hsa04082,Neuroactive ligand signaling,38/1190,199/9422,0.005557030634868133,0.04309540330044168,0.03258878047522813,SLC1A1/ADRA1B/ADCY1/GRIA1/GRIK3/GABRQ/ADCY5/ADCY3/OGFRL1/DRD2/HRH2/GABBR2/SLC6A9/GNG4/GRIA3/P2RY1/ADRA1D/GABRA3/GABRE/CHRM1/GRIK4/ADCY7/GRIN2D/CHAT/CHRNB2/P2RX6/SLC18A1/GNB4/PRKCG/ADRA2A/GRIK2/GRIA2/TAC4/GRIN2B/ADCY2/CHRM5/GRIN2C/CHRFAM7A,38
Human Diseases,Cancer: specific types,hsa05214,Glioma,18/1190,76/9422,0.005572681461264011,0.04309540330044168,0.03258878047522813,PDGFA/E2F1/CALM1/PIK3R3/PDGFRB/GADD45A/SHC2/CCND1/CDKN1A/TGFA/PDGFB/E2F2/SHC4/AKT3/CALML6/CAMK1G/PRKCG/PIK3R2,18
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,31/1190,155/9422,0.005852385756789262,0.044274570507883984,0.03348046771618571,AGT/APC2/ADCY1/CDK2/WNT9A/CACNA1G/CCNE2/E2F1/LDLR/WNT11/ADCY5/ADCY3/TCF7/ITPR3/CCND1/CDKN1A/FZD2/E2F2/FZD9/KCNK3/ADCY7/CREB3L4/CYP21A2/CREB5/ITPR2/CREB3L1/CREB3L2/KCNK2/WNT16/ADCY2/CACNA1I,31
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,42/1190,226/9422,0.00605238804197546,0.044813426353350214,0.03388795096290851,ATP1B2/FOS/ATP1A2/ADCY1/GRIA1/PPP1R1B/PDE4D/CALM1/PIK3R3/ADCY5/ATP1A1/ADCY3/DRD2/CNGA3/GABBR2/LIPE/GRIA3/ATP2B1/GIPR/AKT3/CHRM1/VAV3/SSTR2/ADCY7/ARAP3/PTCH1/GRIN2D/CREB3L4/CALML6/CREB5/PDE4B/ATP1B4/CREB3L1/CREB3L2/FXYD2/KCNK2/RAC2/GRIA2/PIK3R2/GRIN2B/ADCY2/GRIN2C,42
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,17/1190,71/9422,0.006196145261935134,0.04492205314902972,0.03397009463780227,MET/SLC7A5/SLC2A1/MYC/SLC1A5/PIK3R3/HK2/PDGFRB/FGFR2/AKT3/PDHA2/RET/HIF1A/FGFR3/PIK3R2/PGAM2/HKDC1,17
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,13/1190,49/9422,0.006423574685903892,0.04562048960601132,0.03449825287810898,MAOB/PPP1R1B/ADCY5/DRD2/GRIN2D/CREB3L4/CREB5/CREB3L1/SLC18A1/CREB3L2/GRIA2/GRIN2B/GRIN2C,13
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,30/1190,150/9422,0.006633329754373276,0.046167975090438,0.0349122618651225,APC2/MET/CDK2/WNT9A/CCNE2/MYC/E2F1/PIK3R3/WNT11/FGFR2/GADD45A/TCF7/SHC2/CCND1/CDKN1A/FGF1/SHH/FZD2/E2F2/SHC4/FRAT1/FGF21/TGFB3/AKT3/FZD9/CDH1/FGF7/FGF18/WNT16/PIK3R2,30
