category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Replication and repair,hsa03410,Base excision repair,13/1153,44/9392,0.29545454545454547,2.406686115272412,3.4986259224201057,0.001786582902379512,0.025104788721182977,0.020333622291994098,NEIL3/FEN1/PCNA/RFC3/NEIL1/POLD3/RFC4/RFC5/POLE2/TDP1/POLL/POLD1/MUTYH,13
NA,NA,hsa04082,Neuroactive ligand signaling,39/1153,199/9392,0.19597989949748743,1.5963948101304442,3.1810103793604476,0.0018916101419211061,0.025104788721182977,0.020333622291994098,ADRA1B/SLC1A1/ADCY1/ADCY3/DRD2/SLC6A9/GRIK3/GRIA1/ADCY5/HRH2/GNG4/GABBR2/GABRQ/OGFRL1/ADRA1D/CHRM1/GRIK4/GRIA3/ADCY7/CHAT/GRIN2D/ADRA2A/P2RY1/GABRA3/SLC18A1/CHRNB2/GABRE/P2RX6/GRIA2/GRIN2B/TAC4/PRKCG/CHRNA4/GRIK2/GRIN2C/ADCY2/HTR6/POMC/AGRP,39
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,41/1153,212/9392,0.19339622641509435,1.5753489666006646,3.169649566935963,0.0019056466108135293,0.025104788721182977,0.020333622291994098,ID1/PDGFRB/MET/ADCY1/EFNA1/PDGFA/CALM1/PIK3R3/ADCY3/DRD2/MRAS/CSF1R/RAPGEF5/ADCY5/EPHA2/KITLG/MAP2K6/PDGFB/LPAR4/FGF21/FGFR2/EFNA5/RASSF5/CNR1/FGF1/ADCY7/CDH1/P2RY1/RAC2/CALML6/ARAP3/MAGI1/GRIN2B/AKT3/FGFR3/VAV3/PRKCG/FGF18/ADCY2/LPAR2/KIT,41
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,24/1153,106/9392,0.22641509433962265,1.8443109852885826,3.27020030986921,0.0019533985460286466,0.025104788721182977,0.020333622291994098,HSP90B1/CDK2/PDGFRB/ETV5/PDGFA/PLAU/PIK3R3/TCF7/CCNE2/E2F1/CCND1/PDGFB/CDKN1A/FGFR2/TGFA/MMP9/PLAT/E2F2/ERG/CREB3L4/CREB3L1/AKT3/FOLR1/CREB5,24
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,43/1153,226/9392,0.1902654867256637,1.5498468788616075,3.1299642691947582,0.0020801214220612448,0.025778647623401853,0.020879414274073395,ATP1B2/FOS/ATP1A2/ADCY1/CALM1/PIK3R3/ADCY3/DRD2/ATP1A1/GRIA1/CNGA3/ADCY5/PPP1R1B/PDE4D/GABBR2/LIPE/CHRM1/GRIA3/ADCY7/GRIN2D/SSTR2/ATP1B4/ATP2B1/RAC2/GIPR/KCNK2/CALML6/ARAP3/GRIA2/CREB3L4/CREB3L1/GRIN2B/AKT3/VAV3/CRH/GRIN2C/PTCH1/ADCY2/HTR6/PDE4B/POMC/CREB5/FXYD2,43
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,29/1153,138/9392,0.21014492753623187,1.7117789760800433,3.151035341286747,0.0023867346486137336,0.028558514588585018,0.023130967374949792,AURKA/CDK1/MAD2L1/CDK2/CCNB2/CCNB1/PLK1/ADCY1/ESPL1/CALM1/RPS6KA1/SGO1/ADCY3/CCNE2/BUB1/ADCY5/ITPR3/FBXO5/CDC25C/PKMYT1/ADCY7/CDC20/FBXO43/PTTG1/PTTG2/CALML6/RPS6KA3/SPDYC/ADCY2,29
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,17/1153,69/9392,0.2463768115942029,2.00691328230074,3.140306914649907,0.003388226218288397,0.03881465477972221,0.03143792757829768,FOS/MAOB/CALM1/GRIA1/ADCY5/PPP1R1B/GRIA3/GRIN2D/SLC18A1/CALML6/GRIA2/CREB3L4/CREB3L1/GRIN2B/PRKCG/GRIN2C/CREB5,17
NA,NA,hsa04518,Integrin signaling,31/1153,154/9392,0.2012987012987013,1.6397202104053796,2.9942963117877572,0.003467591637381523,0.03881465477972221,0.03143792757829768,ITGA5/ITGA3/ITGB4/PDGFRB/LAMB3/MET/PDGFA/PIK3R3/SPP1/TNN/NPNT/CCND1/ITGA1/COL1A1/ACTN1/COL1A2/ITGA9/PDGFB/LAMA5/MADCAM1/THBS4/COL9A1/CHAD/THBS2/ARHGEF6/CDH1/TNC/RAC2/ITGA6/AKT3/TNR,31
Organismal Systems,Digestive system,hsa04970,Salivary secretion,21/1153,93/9392,0.22580645161290322,1.839353160059312,3.0429961489934723,0.003757744910045723,0.04074804636830831,0.033003877992835794,ATP1B2/ADRA1B/ATP1A2/ADCY1/CALM1/KCNN4/ADCY3/KCNMA1/ATP1A1/ADCY5/ITPR3/ADRA1D/ADCY7/DMBT1/ATP1B4/ATP2B1/CALML6/PRKCG/LYZ/ADCY2/FXYD2,21
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,16/1153,65/9392,0.24615384615384617,2.005097071185536,3.041774535976913,0.004448762178567277,0.04606859762757784,0.03731325820283113,AGT/ADCY1/CACNA1G/LDLR/ADCY3/ADCY5/ITPR3/KCNK3/CYP21A2/ADCY7/KCNK2/CREB3L4/CREB3L1/ADCY2/POMC/CREB5,16
Genetic Information Processing,Replication and repair,hsa03430,Mismatch repair,8/1153,23/9392,0.34782608695652173,2.833289339718692,3.292923444366793,0.004513925992327512,0.04606859762757784,0.03731325820283113,EXO1/PCNA/RFC3/POLD3/RFC4/RFC5/POLD1/MSH6,8
