ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0051304,chromosome separation,37/2408,81/18888,3.189302137725514e-13,1.7494771908214318e-10,1.4615854485710514e-10,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NCAPH/NCAPG/NDC80/TTK/ESPL1/FBXO5/AURKB/SMC4/DLGAP5/NCAPG2/UBE2C/XRCC3/BIRC5/KNL1/NCAPD2/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/NCAPD3/RECQL5/SPC24/SPC25/KNTC1/GEN1/MAPK15,37
BP,GO:0007093,mitotic cell cycle checkpoint signaling,52/2408,143/18888,4.464635252435046e-13,2.2449674260994222e-10,1.8755384406939855e-10,DTL/ORC1/TRIP13/CDK1/MAD2L1/HASPIN/CDK2/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/FANCD2/EME1/E2F7/GTSE1/NDC80/CLSPN/TTK/CDC6/AURKB/TICRR/STK33/XRCC3/RFWD3/BIRC5/CCND1/BLM/CDKN1A/KNL1/CHEK1/RPS27L/RBBP8/TAOK3/BUB1B/BRCA1/CENPF/BARD1/INCENP/MAP3K20/ZWILCH/CDC20/NABP1/SPDL1/SPC24/MUC1/SPC25/KNTC1/MDC1/GEN1/PRKDC,52
BP,GO:0007088,regulation of mitotic nuclear division,46/2408,118/18888,5.508523466619869e-13,2.55680235366033e-10,2.1360582090398828e-10,AURKA/TRIP13/KIF20B/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/CDCA2/NDC80/TTK/ESPL1/RCC1/MKI67/FBXO5/NEK2/PDGFRB/AURKB/DLGAP5/UBE2C/XRCC3/BIRC5/KNL1/CHEK1/PKMYT1/TGFA/BORA/BUB1B/CDC25C/PDGFB/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/SPHK1/KNTC1/GEN1/FBXO43/CCDC8/IL1B,46
BP,GO:0000075,cell cycle checkpoint signaling,62/2408,191/18888,9.47916175294027e-13,4.0855187155172564e-10,3.4132109499872897e-10,DTL/ORC1/TRIP13/CDK1/MAD2L1/HASPIN/CDK2/CDC45/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/FANCD2/EME1/RAD51/E2F7/GTSE1/CDT1/NDC80/CLSPN/E2F1/TTK/WDR76/BRCA2/CDC6/AURKB/TICRR/STK33/XRCC3/RFWD3/BIRC5/CCND1/BLM/CDKN1A/TIMELESS/KNL1/CHEK1/RPS27L/RBBP8/TAOK3/BUB1B/BRCA1/CENPF/BARD1/INCENP/MAP3K20/FBXO6/ZWILCH/CDC20/NABP1/DNA2/SPDL1/SPC24/MUC1/SPC25/BRIP1/KNTC1/MDC1/GEN1/PRKDC,62
BP,GO:0051983,regulation of chromosome segregation,48/2408,131/18888,2.547533802086714e-12,1.0247879307860822e-9,8.561501318030368e-10,RMI2/TRIP13/CDK1/MAD2L1/KIF2C/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/CDCA2/CENPE/NCAPH/NCAPG/NDC80/TTK/ESPL1/MKI67/FBXO5/CDC6/AURKB/SMC4/DLGAP5/NCAPG2/UBE2C/XRCC3/BIRC5/KNL1/NCAPD2/SMARCE1/RAD18/TACC3/BUB1B/CENPF/ACTL6A/INCENP/MAP3K20/ZWILCH/CDC20/SPDL1/NCAPD3/SPC24/SPC25/KNTC1/GEN1/MAPK15,48
BP,GO:0033046,negative regulation of sister chromatid segregation,26/2408,48/18888,7.792202066701718e-12,2.4746393300251667e-9,2.0674158281127164e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,26
BP,GO:0033048,negative regulation of mitotic sister chromatid segregation,26/2408,48/18888,7.792202066701718e-12,2.4746393300251667e-9,2.0674158281127164e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,26
BP,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,26/2408,48/18888,7.792202066701718e-12,2.4746393300251667e-9,2.0674158281127164e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,26
BP,GO:2000816,negative regulation of mitotic sister chromatid separation,26/2408,48/18888,7.792202066701718e-12,2.4746393300251667e-9,2.0674158281127164e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,26
BP,GO:0010965,regulation of mitotic sister chromatid separation,29/2408,59/18888,1.1886696998815487e-11,3.5862164845426324e-9,2.9960732593330195e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/ESPL1/FBXO5/AURKB/DLGAP5/UBE2C/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,29
