ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007059,chromosome segregation,125/2310,431/18805,0.2900232018561485,2.3609897449804644,10.696620381294075,4.9985663830684276e-21,3.0056379661390455e-17,2.4703441230006597e-17,HJURP/TOP2A/AURKA/CDK1/CENPU/UHRF1/MAD2L1/TPX2/KIFC1/CCNB2/FAM83D/SGO2/RCC1/RMI2/KIF18B/ZWINT/KIF2C/CCNB1/HASPIN/NUF2/PLK1/TRIP13/DSN1/CENPE/SKA1/CDCA8/MZT1/CENPH/ESPL1/CENPN/DIAPH3/SMC4/MAP9/FANCD2/PSMC3IP/SGO1/NDC80/KIF4A/CDCA2/XRCC3/PRC1/NEK2/RACGAP1/NCAPH/SKA3/CCNE2/CDCA5/BUB1/ESCO2/TUBB/CDT1/NCAPD2/TTK/NCAPG/SPAG5/CENPK/MYBL2/KNSTRN/FBXO5/CDC6/SMARCE1/CENPO/AURKB/MIS18A/CENPI/MKI67/HAUS6/BIRC5/DLGAP5/UBE2C/KIF15/NCAPG2/KIF23/RAD18/CEP85/GPSM2/ACTL6A/KIF14/MAP3K20/KIF11/OIP5/TACC3/KNL1/BRCA1/HAUS8/CENPW/KIF18A/KIF4B/MAPRE3/TUBG1/CENPF/C14orf39/ZWILCH/BUB1B/SPC25/ECT2/MTCL2/CDC20/MAEL/INCENP/RECQL5/CENPL/NCAPD3/MTCL1/CPAP/PTTG1/ZCWPW1/SPDL1/NDE1/PTTG2/SRPK1/FIRRM/SPC24/NDC1/GEM/STIL/PTTG3P/HECW2/BRIP1/KNTC1/ASPM/GEN1/MSH5/CEP97/FMN2,125
BP,GO:0098813,nuclear chromosome segregation,95/2310,322/18805,0.2950310559006211,2.4017571455459654,9.494441741396832,8.312034385197667e-17,2.4990131379096784e-13,2.0539474441317391e-13,TOP2A/AURKA/CDK1/UHRF1/MAD2L1/TPX2/KIFC1/CCNB2/FAM83D/RCC1/RMI2/KIF18B/ZWINT/KIF2C/CCNB1/HASPIN/NUF2/PLK1/TRIP13/DSN1/CENPE/SKA1/CDCA8/MZT1/ESPL1/SMC4/MAP9/FANCD2/PSMC3IP/SGO1/NDC80/KIF4A/XRCC3/PRC1/NEK2/RACGAP1/NCAPH/SKA3/CCNE2/CDCA5/BUB1/CDT1/NCAPD2/TTK/NCAPG/SPAG5/CENPK/MYBL2/KNSTRN/FBXO5/CDC6/SMARCE1/AURKB/CENPI/BIRC5/DLGAP5/UBE2C/KIF15/NCAPG2/KIF23/ACTL6A/KIF14/MAP3K20/KIF11/TACC3/KNL1/KIF18A/KIF4B/TUBG1/CENPF/C14orf39/ZWILCH/BUB1B/SPC25/ECT2/CDC20/MAEL/INCENP/NCAPD3/PTTG1/ZCWPW1/SPDL1/PTTG2/SPC24/NDC1/GEM/PTTG3P/HECW2/BRIP1/KNTC1/ASPM/GEN1/MSH5/CEP97/FMN2,95
BP,GO:0000280,nuclear division,117/2310,448/18805,0.2611607142857143,2.126029104823748,9.026984989796333,5.852327148921882e-16,1.1730014382155758e-12,9.640938934802888e-13,TOP2A/AURKA/CDK1/UHRF1/KIF20B/MAD2L1/TPX2/KIFC1/PDGFRB/CCNB2/RCC1/KIF18B/ZWINT/KIF2C/CCNB1/HASPIN/NUF2/PLK1/RAD51/TRIP13/EME1/CENPE/SKA1/CDCA8/MZT1/ESPL1/LIF/SMC4/MAP9/FANCD2/PSMC3IP/SGO1/NDC80/KIF4A/CDCA2/RAD54L/XRCC3/PRC1/GPR3/NEK2/RACGAP1/NCAPH/SKA3/CCNE2/CDCA5/BUB1/CDT1/HSPA2/NCAPD2/TTK/NCAPG/RAD51AP1/SPAG5/CENPK/MYBL2/MASTL/KNSTRN/FBXO5/FANCA/BORA/AURKB/PDGFB/BRCA2/MYBL1/CENPI/MKI67/BIRC5/DLGAP5/UBE2C/KIF15/NCAPG2/KIF23/TGFA/ANLN/CHEK1/CEP85/KIF14/CDC25C/KIF11/KNL1/PKMYT1/KIF18A/KIF4B/TUBG1/CENPF/C14orf39/ZWILCH/BUB1B/SPC25/CDC20/MAEL/FBXO43/INCENP/NCAPD3/PTTG1/ZCWPW1/SPDL1/NDE1/FANCM/PTTG2/SPC24/NDC1/RMI1/PTTG3P/FIGNL1/CCDC8/BRIP1/SPHK1/IL1B/KNTC1/ASPM/GEN1/MSH5/MEI1/EPGN/CEP97/FMN2,117
BP,GO:0140014,mitotic nuclear division,85/2310,282/18805,0.30141843971631205,2.4537548739676396,9.20481418286583,8.808539785726715e-16,1.3241437432893684e-12,1.0883182708943928e-12,AURKA/CDK1/UHRF1/KIF20B/MAD2L1/TPX2/KIFC1/PDGFRB/RCC1/KIF18B/ZWINT/KIF2C/CCNB1/HASPIN/NUF2/PLK1/TRIP13/CENPE/SKA1/CDCA8/MZT1/ESPL1/SMC4/MAP9/NDC80/KIF4A/CDCA2/XRCC3/PRC1/NEK2/RACGAP1/NCAPH/SKA3/CDCA5/BUB1/CDT1/NCAPD2/TTK/NCAPG/SPAG5/CENPK/MYBL2/KNSTRN/FBXO5/BORA/AURKB/PDGFB/CENPI/MKI67/BIRC5/DLGAP5/UBE2C/KIF15/NCAPG2/KIF23/TGFA/ANLN/CHEK1/CEP85/KIF14/CDC25C/KIF11/KNL1/PKMYT1/KIF18A/KIF4B/TUBG1/CENPF/ZWILCH/BUB1B/SPC25/CDC20/FBXO43/INCENP/NCAPD3/SPDL1/NDE1/SPC24/CCDC8/SPHK1/IL1B/KNTC1/GEN1/EPGN/CEP97,85
BP,GO:0000070,mitotic sister chromatid segregation,66/2310,193/18805,0.34196891191709844,2.783863804589193,9.321778461039688,1.6937832354690398e-15,2.036943718975067e-12,1.6741710085320299e-12,CDK1/UHRF1/MAD2L1/TPX2/KIFC1/RCC1/KIF18B/ZWINT/KIF2C/CCNB1/HASPIN/NUF2/PLK1/TRIP13/CENPE/SKA1/CDCA8/MZT1/ESPL1/SMC4/MAP9/NDC80/KIF4A/XRCC3/PRC1/NEK2/RACGAP1/NCAPH/SKA3/CDCA5/BUB1/CDT1/NCAPD2/TTK/NCAPG/SPAG5/CENPK/MYBL2/KNSTRN/FBXO5/AURKB/CENPI/BIRC5/DLGAP5/UBE2C/KIF15/NCAPG2/KIF23/KIF14/KIF11/KNL1/KIF18A/KIF4B/TUBG1/CENPF/ZWILCH/BUB1B/SPC25/CDC20/INCENP/NCAPD3/SPDL1/SPC24/KNTC1/GEN1/CEP97,66
BP,GO:0007088,regulation of mitotic nuclear division,49/2310,121/18805,0.4049586776859504,3.296644127222639,9.484324662894485,3.885232072437678e-15,3.40116949993899e-12,2.795432843263028e-12,AURKA/KIF20B/MAD2L1/PDGFRB/RCC1/ZWINT/CCNB1/HASPIN/NUF2/PLK1/TRIP13/SKA1/CDCA8/ESPL1/NDC80/CDCA2/XRCC3/NEK2/SKA3/BUB1/TTK/FBXO5/BORA/AURKB/PDGFB/MKI67/BIRC5/DLGAP5/UBE2C/TGFA/CHEK1/CDC25C/KNL1/PKMYT1/CENPF/ZWILCH/BUB1B/SPC25/CDC20/FBXO43/INCENP/SPDL1/SPC24/CCDC8/SPHK1/IL1B/KNTC1/GEN1/EPGN,49
BP,GO:0000819,sister chromatid segregation,74/2310,234/18805,0.3162393162393162,2.574407074407074,9.06905984036188,3.9594522700104655e-15,3.40116949993899e-12,2.795432843263028e-12,TOP2A/CDK1/UHRF1/MAD2L1/TPX2/KIFC1/RCC1/RMI2/KIF18B/ZWINT/KIF2C/CCNB1/HASPIN/NUF2/PLK1/TRIP13/CENPE/SKA1/CDCA8/MZT1/ESPL1/SMC4/MAP9/NDC80/KIF4A/XRCC3/PRC1/NEK2/RACGAP1/NCAPH/SKA3/CDCA5/BUB1/CDT1/NCAPD2/TTK/NCAPG/SPAG5/CENPK/MYBL2/KNSTRN/FBXO5/CDC6/SMARCE1/AURKB/CENPI/BIRC5/DLGAP5/UBE2C/KIF15/NCAPG2/KIF23/ACTL6A/KIF14/MAP3K20/KIF11/TACC3/KNL1/KIF18A/KIF4B/TUBG1/CENPF/ZWILCH/BUB1B/SPC25/CDC20/INCENP/NCAPD3/SPDL1/SPC24/HECW2/KNTC1/GEN1/CEP97,74
BP,GO:0048285,organelle fission,123/2310,498/18805,0.2469879518072289,2.010653001616857,8.553878989331075,9.43307874106251e-15,7.090137808751109e-12,5.827408511748484e-12,TOP2A/AURKA/CDK1/UHRF1/KIF20B/MAD2L1/TPX2/KIFC1/PDGFRB/CCNB2/RCC1/KIF18B/ZWINT/KIF2C/CCNB1/HASPIN/NUF2/PLK1/RAD51/TRIP13/EME1/CENPE/SKA1/MTFR2/CDCA8/MZT1/ESPL1/STAT2/LIF/SMC4/MAP9/FANCD2/PSMC3IP/SGO1/NDC80/KIF4A/CDCA2/RAD54L/XRCC3/PRC1/GPR3/NEK2/RACGAP1/NCAPH/SKA3/CCNE2/CDCA5/BUB1/CDT1/HSPA2/NCAPD2/TTK/NCAPG/RAD51AP1/SPAG5/CENPK/MYBL2/MASTL/KNSTRN/FBXO5/FANCA/BORA/PEX11G/AURKB/PDGFB/BRCA2/MYBL1/CENPI/MKI67/BIRC5/DLGAP5/UBE2C/KIF15/MCU/NCAPG2/KIF23/TGFA/ANLN/CHEK1/CEP85/KIF14/CDC25C/KIF11/KNL1/PKMYT1/KIF18A/KIF4B/MTFR1/TUBG1/CORO1C/CENPF/C14orf39/ZWILCH/BUB1B/SPC25/CDC20/MAEL/FBXO43/INCENP/NCAPD3/PTTG1/ZCWPW1/SPDL1/NDE1/FANCM/PTTG2/SPC24/NDC1/RMI1/PTTG3P/FIGNL1/CCDC8/BRIP1/SPHK1/IL1B/KNTC1/ASPM/GEN1/MSH5/MEI1/EPGN/CEP97/FMN2,123
BP,GO:1905818,regulation of chromosome separation,37/2310,77/18805,0.4805194805194805,3.9117613987743853,9.58099024093875,1.346101824632809e-14,8.993455857241201e-12,7.391752124738056e-12,MAD2L1/ZWINT/CCNB1/HASPIN/NUF2/PLK1/TRIP13/SKA1/CDCA8/ESPL1/SMC4/NDC80/XRCC3/NCAPH/SKA3/BUB1/NCAPD2/TTK/NCAPG/FBXO5/AURKB/BIRC5/DLGAP5/UBE2C/NCAPG2/KNL1/CENPF/ZWILCH/BUB1B/SPC25/CDC20/INCENP/NCAPD3/SPDL1/SPC24/KNTC1/GEN1,37
BP,GO:0051304,chromosome separation,38/2310,84/18805,0.4523809523809524,3.682694289837147,9.221493352399493,6.835001955684388e-14,4.1098866759530225e-11,3.3779299138882314e-11,MAD2L1/ZWINT/CCNB1/HASPIN/NUF2/PLK1/TRIP13/SKA1/CDCA8/ESPL1/SMC4/NDC80/XRCC3/NCAPH/SKA3/BUB1/NCAPD2/TTK/NCAPG/FBXO5/AURKB/BIRC5/DLGAP5/UBE2C/NCAPG2/KNL1/CENPF/ZWILCH/BUB1B/SPC25/CDC20/INCENP/RECQL5/NCAPD3/SPDL1/SPC24/KNTC1/GEN1,38
