category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,29/487,195/9392,0.14871794871794872,2.8680882430369086,6.164459996160651,2.441898011683754e-7,8.033844458439552e-5,7.608440120614646e-5,HDAC5/PRKCA/H2AC6/H4C15/H4C14/VDAC2/H2AX/H2BC4/H2AJ/H2BC5/SIGLEC9/C5/SRC/H2AC13/H3-7/H4C8/FPR1/H2AC20/H3C10/VWF/H2AC8/H2BC17/H2BC11/H2AC11/H4C11/H2BC12L/LOC102724334/MAPK13/H3C15,29
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,21/487,143/9392,0.14685314685314685,2.8321247540960064,5.162726405342594,1.3805105268202786e-5,0.002270939816619358,0.002150690083888434,H2AC6/H4C15/H4C14/H2AX/H2BC4/H2AJ/H2BC5/C5/H2AC13/H3-7/H4C8/H2AC20/H3C10/H2AC8/H2BC17/H2BC11/H2AC11/H4C11/H2BC12L/LOC102724334/H3C15,21
Human Diseases,Substance dependence,hsa05034,Alcoholism,23/487,191/9392,0.12041884816753927,2.3223281765698744,4.317594574949991,1.347021415036539e-4,0.013348979815509561,0.01264213094030021,HDAC5/H2AC6/H4C15/H4C14/ATF2/H2AX/H2BC4/H2AJ/H2BC5/MAOB/H2AC13/H3-7/H4C8/H2AC20/H3C10/H2AC8/H2BC17/H2BC11/H2AC11/H4C11/H2BC12L/LOC102724334/H3C15,23
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,16/487,110/9392,0.14545454545454545,2.8051521373903303,4.453411327526401,1.6229762693628646e-4,0.013348979815509561,0.01264213094030021,ID4/SKP1/ID3/INHBA/BAMBI/THBS1/TFR2/RGMA/LTBP1/ID1/BMP6/SMAD5/SIN3A/BMP4/NRROS/ACVR1C,16
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,20/487,168/9392,0.11904761904761904,2.295883445780776,3.9633677821778663,4.2301308062675427e-4,0.027834260705240428,0.026360394076951427,STAT1/GLUL/PLA2G4A/H2AC6/SQSTM1/VDAC2/H2AX/H2AJ/IL1B/STAT6/H2AC13/IL33/CHMP4C/H2AC20/H2AC8/CAMK2A/H2AC11/IL1A/NLRP3/ZBP1,20
