category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,27/482,195/9422,2.049390450261782e-6,6.762988485863881e-4,6.407041723449992e-4,HDAC5/PRKCA/H2AC6/VDAC2/H2AX/H4C15/H4C14/H2AJ/H2BC5/H2BC4/SIGLEC9/SRC/H3C10/H4C8/C5/VWF/H2AC13/H3-7/FPR1/H2BC11/MAPK13/H2BC17/H2AC20/H2AC8/H2BC12L/LOC102724334/FCGR2A,27
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,17/482,110/9422,3.944364037406308e-5,0.006508200661720408,0.006165663784787756,ID4/ID3/THBS1/SKP1/INHBA/BAMBI/RGMA/LTBP1/ID1/SMAD5/SIN3A/TFR2/BMP4/BMP6/NRROS/ACVR1C/NEO1,17
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,23/482,184/9422,6.172367309147643e-5,0.006789604040062407,0.006432256459006491,PPP3CA/PRKCA/EPHB3/EFNB1/PLXNC1/PAK3/RGMA/SEMA5B/SHH/CXCL12/SEMA3E/DCC/UNC5C/SRC/MYL5/EPHA5/NTNG1/ABLIM2/EFNA3/NEO1/NTNG2/CAMK2A/CAMK2B,23
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,19/482,143/9422,1.1810062604198775e-4,0.00974330164846399,0.009230496298544834,H2AC6/H2AX/H4C15/H4C14/H2AJ/H2BC5/H2BC4/H3C10/H4C8/C5/H2AC13/H3-7/H2BC11/H2BC17/H2AC20/H2AC8/H2BC12L/LOC102724334/FCGR2A,19
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,14/482,99/9422,4.818169009086778e-4,0.03179991545997273,0.030126235698921536,PRKCA/GNAQ/ASIC1/PLA2G4A/BDKRB2/MAP2K6/ADCY8/TRPM8/SRC/IL1B/NTRK1/MAPK13/CAMK2A/CAMK2B,14
