category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,29/486,195/9392,0.14871794871794872,2.8739896591748444,6.177234837201163,2.338000677198653e-7,7.692022227983568e-5,7.284717899482119e-5,HDAC5/PRKCA/H2AC6/H4C15/H4C14/VDAC2/H2AX/H2BC4/H2AJ/H2BC5/SIGLEC9/C5/SRC/H2AC13/H3-7/H4C8/FPR1/H2AC20/H3C10/VWF/H2AC8/H2BC17/H2BC11/H2AC11/H4C11/H2BC12L/LOC102724334/MAPK13/H3C15,29
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,21/486,143/9392,0.14685314685314685,2.8379521712855045,5.17353681809432,1.3381361687916814e-5,0.002201233997662316,0.00208467529453862,H2AC6/H4C15/H4C14/H2AX/H2BC4/H2AJ/H2BC5/C5/H2AC13/H3-7/H4C8/H2AC20/H3C10/H2AC8/H2BC17/H2BC11/H2AC11/H4C11/H2BC12L/LOC102724334/H3C15,21
Human Diseases,Substance dependence,hsa05034,Alcoholism,23/486,191/9392,0.12041884816753927,2.327106629608084,4.328502737253665,1.3064540989565532e-4,0.01303671668526144,0.01234640261986046,HDAC5/H2AC6/H4C15/H4C14/ATF2/H2AX/H2BC4/H2AJ/H2BC5/MAOB/H2AC13/H3-7/H4C8/H2AC20/H3C10/H2AC8/H2BC17/H2BC11/H2AC11/H4C11/H2BC12L/LOC102724334/H3C15,23
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,16/486,110/9392,0.14545454545454545,2.8109240553684995,4.46281113247353,1.585011147144248e-4,0.01303671668526144,0.01234640261986046,ID4/SKP1/ID3/INHBA/BAMBI/THBS1/TFR2/RGMA/LTBP1/ID1/BMP6/SMAD5/SIN3A/BMP4/NRROS/ACVR1C,16
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,20/486,168/9392,0.11904761904761904,2.300607485792671,3.9735067264369635,4.119826857051108e-4,0.027108460719396286,0.025673026309202693,STAT1/GLUL/PLA2G4A/H2AC6/SQSTM1/VDAC2/H2AX/H2AJ/IL1B/STAT6/H2AC13/IL33/CHMP4C/H2AC20/H2AC8/CAMK2A/H2AC11/IL1A/NLRP3/ZBP1,20
