ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0061891,calcium ion sensor activity,3/49,21/18639,0.14285714285714285,54.34110787172012,12.556342826808812,2.196411254666137e-5,0.0019546540783355873,0.0016299917809770449,SYT7/SYT13/EFHD1,3
MF,GO:0140784,metal ion sensor activity,3/49,22/18639,0.13636363636363635,51.87105751391465,12.257030188789647,2.5385117900462175e-5,0.0019546540783355873,0.0016299917809770449,SYT7/SYT13/EFHD1,3
MF,GO:0140299,molecular sensor activity,3/49,71/18639,0.04225352112676056,16.072722046565104,6.532753930881549,8.606382220786143e-4,0.04417942873336887,0.036841355471435425,SYT7/SYT13/EFHD1,3
